,Name,Run by,Access API
0,Amazon S3,Amazon.com,HTTP (REST/SOAP)
1,Google Cloud Storage,Google,HTTP (REST)
2,SWIFT (part of OpenStack),"Rackspace, Hewlett-Packard, others",HTTP (REST)
3,Microsoft Azure,Microsoft,HTTP (REST)
4,IBM Cloud Object Storage,IBM (formerly Cleversafe)[9],HTTP (REST)
