,Description,Spanish,Spanish.1,Portuguese,Portuguese.1
0,Description,Spelling,Pronunciation,Spelling,Pronunciation
1,"palatal ""l""",ll,ʎ (~ ʝ)[126],lh,ʎ
2,"palatal ""n""",ñ,ɲ,nh,"ɲ (EP), j̃ (BP)"
3,"palatal ""y""",y,ʝ,i,j
