,Rank,Country/U.S. state,USD
0,1,Luxembourg,105863
1,2,Switzerland,80637
2,3,New York,78354
3,4,Delaware,77931
4,5,Massachusetts,77433
5,6,Norway,75389
6,7,North Dakota,73214
7,8,Connecticut,72929
8,9,Alaska,71155
9,10,Iceland,70248
10,11,California,69984
11,12,Washington,69478
12,13,Wyoming,68806
13,14,Ireland,68710
14,15,New Jersey,66157
15,16,Maryland,65426
16,17,Illinois,64083
17,18,Nebraska,63852
18,19,Minnesota,63608
19,20,Colorado,61862
20,21,Hawaii,61696
21,22,Qatar,61024
22,23,Texas,60878
23,24,Iowa,60673
24,25,Virginia,60470
25,26,New Hampshire,60321
26,-,United States,59792
27,27,Pennsylvania,58828
28,28,Singapore,57713
29,29,Oregon,57706
30,30,South Dakota,57690
31,31,Denmark,56630
32,32,Rhode Island,56282
33,33,Wisconsin,56078
34,34,Ohio,55890
35,35,Australia,55692
36,36,Kansas,54276
37,37,Utah,54249
38,38,Indiana,54141
39,39,Georgia (U.S. state),53758
40,40,Nevada,53167
41,41,North Carolina,53050
42,42,Sweden,52925
43,43,Louisiana,52602
44,44,Tennessee,51903
45,45,Vermont,51549
46,46,Michigan,50081
47,47,Missouri,50041
48,48,Netherlands,48555
49,49,Oklahoma,48211
50,50,San Marino,47595
51,51,Austria,47347
52,52,Florida,46930
53,53,New Mexico,46655
54,54,Arizona,46147
55,55,Montana,46136
56,56,Maine,46117
57,57,Finland,45927
58,58,Kentucky,45641
59,59,Canada,45094
60,60,Germany,44769
61,61,South Carolina,44162
62,62,Belgium,43488
63,63,Alabama,43377
64,64,West Virginia,41939
65,65,Arkansas,41803
66,66,Idaho,41729
67,67,New Zealand,41572
68,68,Israel,40272
69,69,France,39932
70,70,United Kingdom,39800
71,71,Japan,38448
72,72,United Arab Emirates,37732
73,73,Mississippi,37376
74,-,European Union,33800
75,74,Italy,31996
76,75,Bahamas,31660
77,76,South Korea,29938
78,77,Spain,28358
79,78,Brunei,28278
80,79,Kuwait,27393
81,80,Malta,27326
82,81,Cyprus,25380
83,82,Bahrain,24325
84,83,Taiwan,24292
85,84,Slovenia,23654
86,85,Portugal,21158
87,86,Saudi Arabia,21096
88,87,Czech Republic,20401
89,88,Estonia,19735
90,89,Greece,18637
91,90,Barbados,17757
92,91,Slovakia,17655
93,92,Saint Kitts and Nevis,17397
94,93,Oman,17128
95,94,Uruguay,16941
96,95,Lithuania,16730
97,96,Antigua and Barbuda,16702
98,97,Trinidad and Tobago,16637
99,98,Palau,15980
100,99,Seychelles,15859
101,100,Latvia,15550
102,101,Panama,15089
103,102,Chile,15067
104,103,Equatorial Guinea,14817
105,104,Argentina,14462
106,105,Hungary,14209
107,106,Poland,13821
108,107,Croatia,13271
109,108,Maldives,12527
110,109,Lebanon,12013
111,110,Costa Rica,11728
112,111,Russia,10955
113,112,Romania,10785
114,-,World,10728
115,113,Turkey,10537
116,114,Mauritius,10504
117,115,Grenada,10405
118,116,Brazil,9895
119,117,Malaysia,9755
120,118,Saint Lucia,9606
121,119,Mexico,9318
122,120,Kazakhstan,8762
123,121,China,8643
124,122,Nauru,8574
125,123,Bulgaria,8077
126,124,Dominica,7879
127,125,Montenegro,7678
128,126,Botswana,7584
129,127,Dominican Republic,7477
130,128,Gabon,7373
131,129,Saint Vincent and the Grenadines,7124
132,130,Venezuela,6890
