,OLAP server,Company,Website,Latest stable version,Software license,License pricing
0,Apache Kylin,Apache Software Foundation,[1],2.5.1,Apache 2.0,free
1,Druid,Open source community,[2],0.11.0,Apache 2.0,free
2,Apache Pinot (Incubating),Apache Software Foundation,[3],0.1.0,Apache 2.0,free
3,Essbase,Oracle,[4],11.1.2.4,Proprietary,[1]
4,IBM Cognos TM1,IBM,[5],10.2.2 FP7,Proprietary,-
5,icCube,icCube,[6],6.8.9,Proprietary,community/[2]
6,Infor BI OLAP Server,Infor,[7],10.6.0,Proprietary,-
7,Jedox OLAP Server,Jedox,[8],2019.3,Proprietary,[3]
8,Kyligence,Kyligence,[9],3.2.1,Proprietary,-
9,Kyvos,Kyvos Insights,[10],5.2,Proprietary,-
10,Microsoft Analysis Services,Microsoft,[11],2016,Proprietary,[4]
11,MicroStrategy Intelligence Server,MicroStrategy,[12],10.11,Proprietary,-
12,Mondrian OLAP server,Pentaho,[13],3.7,EPL,free
13,Oracle Database OLAP Option,Oracle,[14],11g R2,Proprietary,[5]
14,SAP NetWeaver BW,SAP,[15],7.30,Proprietary,-
15,SAS OLAP Server,SAS Institute,[16],9.4,Proprietary,-
