,Unnamed: 0,VC-1,H.264
0,Bitstream formats,single bit stream,NAL and byte stream
1,Bitstream format,"In advanced profile, each Bitstream Data Unit has its own header.Simple and Main profile provide neither sequence nor entry point headers.","SPS (sequence parameter set), PPS (picture parameters set), slice header, macroblock"
2,Deblocking filter,In-loop filter and overlap transform,In-loop only
3,CABAC,No,Only supported in Main and higher profiles
4,Variable transform size,Yes,Only in High profile and above
5,Slice,Contiguous (integer number of macroblock rows only),Contiguous or non-contiguous
6,Sub-pixel interpolation methods,"bicubic, bilinear",6-tap filter for half pixels; averaging for quarter pixels
7,Variable Length Coding,Yes,Yes
8,B frame used for predicting other pictures,Yes,Yes
