,Maker,Model,Intro year,End year,Screen size (inch),Self-lit,Screen type,Screen model,Weight,Screen pixels,Touch screen,Wireless network,Text-to-speech,Folders,Internal Storage,Micro SDHC,Web browser,Library DRM compatible,USB peripherals
0,Aluratek,Libre Ebook Reader Pro,2009,2014,5 in,No,ePaper,,213 g (7.5 oz),600 × 800,No,No,No,Yes,90 MB,up to 32 GB,No,Yes,No
1,Amazon.com,Kindle Paperwhite (2nd generation) Wi-Fi/3G,2013,2015,6 in,Yes,eInk Carta,,215 g (7.6 oz),758 × 1024,2-Point,"Wi-Fi/CDMA, GSM",No,Yes,2 GB (1.25 GB),No,Yes,US only,No
2,Amazon.com,Kindle Paperwhite 1st generation,2012,2013,6 in,Yes,eInk Pearl,,221 g (7.8 oz),758 × 1024,2-Point,"Wi-Fi/ CDMA, GSM",No,Yes,2 GB (1.25 GB),No,Yes,US only,No
3,Amazon.com,Kindle (5th generation),2012,2014,6 in,No,eInk Pearl,,170 g (5.98 oz),600 × 800,No,Wi-Fi,No,Yes,2 GB (1.25 GB),No,Yes,US only,No
4,Amazon.com,Kindle (4th generation),2011,2012,6 in,No,eInk Pearl,,170 g (6.0 oz),600 × 800,No,Wi-Fi,No,Yes,2 GB (1.25 GB),No,Yes,US only,No
5,Amazon.com,Kindle Touch 3G/Wi-Fi,2011,2012,6 in,No,eInk Pearl,,220 g (7.8 oz),600 × 800,Yes,"Wi-Fi/CDMA, GSM",Yes,Yes,4 GB (3 GB),No,Yes,US only,No
6,Amazon.com,Kindle Keyboard Wi-Fi/3G,2010,2011,6 in,No,eInk Pearl,ED060SC7(LF),247 g (8.7 oz),600 × 800,No,"Wi-Fi/CDMA, GSM",Yes,Yes,4 GB (3 GB),No,Yes,US only,No
7,Amazon.com,Kindle DX 1st gen white,2009,2011,9.7 in,No,eInk,,540 g (19 oz),824 × 1200,No,"CDMA (USA), GSM",Yes,Yes,4 GB (3.3 GB),No,limited,US only,No
8,Amazon.com,Kindle DX 2nd gen graphite,2010,2012,9.7 in,No,eInk Pearl,,535 g (18.9 oz),824 × 1200,No,HSDPA/GSM,Yes,Yes,4 GB (3.3 GB),No,limited,US only,No
9,Amazon.com,Kindle 2,2009,2010,6 in,No,eInk,,289 g (10.2 oz),600 × 800,No,"CDMA (USA), GSM (World)",Yes,Yes,2 GB (1.4 GB),No,limited,US only,No
