,Unnamed: 0,Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
0,DataViz Sheet To Go,11.000[12],"Palm OS, Windows Mobile, Symbian (UIQ, S80)",Documents To Go,DataViz,Proprietary,Yes,,
1,EIOffice Spreadsheet,"2009, 5.0.1272.101[13]","Windows, Linux",EIOffice,Evermore Software,Proprietary,Yes,,Import only[13]
2,Gnumeric,1.8[35],"Linux, Unix, Windows",,GNOME,GPL,Yes,,Incomplete support
3,Go-oo Calc,3.0.0[14],"Windows, Linux, Unix, Mac OS X",Go-oo,Free software community,"LGPL, CDDL",Yes,,Import only
4,Google Docs,(current)[15],Web application,Google Docs,Google,Proprietary,Yes,,
5,IBM Lotus Symphony,1.3[16],"Windows, Mac OS X, Linux",IBM Lotus Symphony,IBM,Proprietary,Yes,,Import only
6,Kingsoft Office Spreadsheets,"2009,[22] 6.3.0.1733",Windows,Kingsoft Office,Kingsoft,Proprietary,Yes,,Import only beta support
7,LibreOffice,All versions,"Windows, OS X, Linux, Unix, Android",,The Document Foundation,MPL,Yes,Yes,
8,Microsoft Office Excel,"2013, 2011 for Mac","Windows, Mac OS X",Microsoft Office,Microsoft,Proprietary,Yes,Yes,
9,Microsoft Office Mobile Excel Mobile,6.1[23],Windows Mobile,Microsoft Office Mobile,Microsoft,Proprietary,Yes,,
10,Microsoft Works Spreadsheet,9[24],Windows,Microsoft Works,Microsoft,Proprietary,Yes,Yes,
11,NeoOffice Calc,2.2.5[36],Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,Yes,,
12,Numbers,'08[37],Mac OS X,iWork,Apple Inc.,Proprietary,Yes,,
13,ONLYOFFICE,5.2[27],Web Application,ONLYOFFICE,Ascensio System SIA,"Proprietary, AGPL",Yes,,
14,OpenOffice.org Calc,3.0,"Windows, Linux, Unix, Mac OS X",OpenOffice.org,OpenOffice.org,LGPL,Yes,,Import only
15,Quattro Pro,X4 (2008)[34],Windows,WordPerfect Office,Corel,Proprietary,Yes,,Import only
16,StarOffice Calc,9[30],"Windows, Linux, Solaris",StarOffice,Sun Microsystems,Proprietary,Yes,,Import only[31]
17,Thinkfree Office Calc,[33],"Windows, Mac OS X, Linux",Thinkfree Office,ThinkFree Corp,Proprietary,Yes,,
18,,Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
