,Title,Publisher,First published,Latest edition,Year,Pages,Usage examples (approx.),Main dialect
0,Cambridge Advanced Learner's Dictionary,Cambridge University Press,2003[3],4th (ISBN 9781107619500),2013,1856,140000.0,British
1,Collins COBUILD Advanced Dictionary,Collins Cobuild,1987,9th (ISBN 9780008253219),2018,1904,,British
2,Longman Dictionary of Contemporary English,Pearson-Longman,1978,6th (ISBN 9781447954194),2014,2224,165000.0,British
3,Macmillan English Dictionary for Advanced Learners,Macmillan Education,2002,2nd (ISBN 9781405025263),2012,1748,,British
4,Merriam-Webster's Advanced Learner's English Dictionary,Merriam-Webster,2008,2nd (ISBN 9780877797364),2016,1994,160000.0,American
5,Oxford Advanced Learner's Dictionary,Oxford University Press,1948,8th (ISBN 9780194799003),2010,1796,185000.0,British
