,Unnamed: 0,Unnamed: 1,Unnamed: 2,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto,Unnamed: 9,Unnamed: 10,Unnamed: 11
78,selectors-4,E:nth-last-column(n),Nth last column,No,No,No,No,No,No,,,
79,selectors-4,E:placeholder-shown,placeholder text,No,No,No,No,No,No,,,
80,selectors-4,E:active-drop,will receive the item,No,No,No,No,No,No,,,
81,selectors-4,E:valid-drop,could receive the item,No,No,No,No,No,No,,,
82,selectors-4,E:invalid-drop,cannot receive the item,No,No,No,No,No,No,,,
83,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements,Pseudo-elements
84,CSS2,E:first-letter,First letter,9.0,12,1.0,85,Yes,1.0,,,
85,CSS2,E:first-line,First line,9.0,12,1.0,Partial,Yes,1.0,,,
86,CSS2,E:before,Before,8.0,12,1.9.1,Partial,Yes,1.0,,,
87,CSS2,E:after,After,8.0,12,1.9.1,Partial,Yes,1.0,,,
88,selectors-3,E::before,Double colon notation,9.0,12,1.9.1,Partial,3.4,1.0,,,
89,selectors-3,E::after,Double colon notation,9.0,12,1.9.1,Partial,3.4,1.0,,,
90,selectors-3,E::first-letter,Double colon notation,9.0,12,1.5,85,3.4,1.0,,,
91,selectors-3,E::first-line,Double colon notation,9.0,12,1.5,Partial,3.4,1.0,,,
92,css-pseudo-4,E::marker[spec 5],list marker,No,No,No,No,No,No,,,
93,css-pseudo-4,E::selection,Selection,9.0,12,Experimental[g 12],412,3.4,2.1,,,
94,CSS UI pseudo elements [1],E::value,user interface element fragments[spec 6],No,No,No,No,No,No,,,
95,CSS UI pseudo elements [1],E::choices,user interface element fragments[spec 6],No,No,No,No,No,No,,,
96,CSS UI pseudo elements [1],E::repeat-item,user interface element fragments[spec 6],No,No,No,No,No,No,,,
97,CSS UI pseudo elements [1],E::repeat-index,user interface element fragments[spec 6],No,No,No,No,No,No,,,
98,,,,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto,,,
