,Model(Codename),Release Date,Architecture& Fab,Transistors& Die Size,Core,Core.1,Fillrate[a][b][c],Fillrate[a][b][c].1,Processing power[a][d](GFLOPS),Processing power[a][d](GFLOPS).1,Memory,Memory.1,Memory.2,Memory.3,TDP,Bus interface
0,Model(Codename),Release Date,Architecture& Fab,Transistors& Die Size,Config[e],Clock[a] (MHz),Texture (GT/s),Pixel (GP/s),Single,Double,Bus type& width,Size (GiB),Clock (MT/s),Band-width (GB/s),TDP,Bus interface
1,Radeon Pro 450 [291][292][293][294][295],October 2016,GCN 4th gen14 nm,3.0×109123 mm2,640:40:1610 CU,725775,2931,11.612.4,928992,1/16 SP,GDDR5128-bit,2,5000,80,35 W,PCIe 3.0 ×16
2,Radeon Pro 455 [291][292][293][296],October 2016,GCN 4th gen14 nm,3.0×109123 mm2,768:48:1612 CU,850,40.8,13.6,1305.6,1/16 SP,GDDR5128-bit,2,5000,80,35 W,PCIe 3.0 ×16
3,Radeon Pro 460 [291][292][293][297],October 2016,GCN 4th gen14 nm,3.0×109123 mm2,1024:64:1616 CU,850910,54.458.2,13.614.56,1740.81863.7,1/16 SP,GDDR5128-bit,4,5000,80,35 W,PCIe 3.0 ×16
