,Product,Local books,Book file search,Epub downloading,Browser downloading,OPDS catalog,Books tag,Books sort,Books manage metadata
0,Aldiko Book Reader,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
1,AlReader,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes
2,Bookari,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
3,Cool Reader,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes
4,EBookDroid,Yes,?,?,?,Yes,?,?,?
5,Ebook Reader,Yes,Yes,Yes,Yes,No,Yes,Yes,No
6,eReader Prestigio,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
7,FBReader,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
8,iReader,?,?,?,?,?,?,?,?
9,Kindle,?,?,?,?,?,?,?,?
10,Kobo Books,?,?,?,?,?,?,?,?
11,KOReader,Yes,?,No,No,Yes,?,?,?
12,Lektz eBook Reader,Yes,Yes,Yes,?,?,?,?,?
13,Librera,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
14,Moon+ reader,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
15,MReader,Yes,Yes,Yes,Yes,No,No,No,No
16,PocketBook,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
17,Socio eReader,Yes,Yes,Yes,No,No,No,Yes,No
18,Product,Local books,Book file search,Epub downloading,Browser downloading,OPDS catalog,Books tag,Books sort,Books manage metadata
