,Country code,Country,Speed limit on motorway (km/h),Speed limit on dual carriageway (km/h),Speed limit on single carriageway (km/h),Speed limit in urban area,Permitted alcohol level (%),Toll roads,Seatbelt required,Minimum child age (front seat),Triangle required,First aid required,Fire extinguisher required,Spare bulb required,Minimum driver's age,Tow rope required
0,A,Austria,130,100,100,50,0.05,Yes,All,,Yes,Yes,Recommended,No,17,Yes
1,AL,Albania,110,,90,40,0,,Yes[1],,Recommended,Recommended,Recommended,No,18,Yes
2,AND,Andorra,,,90,50,0.05,,Front,10,Yes,Recommended,Recommended,No,18,Yes
3,B,Belgium,120,90,90 (70 in Flanders),50,0.05,No[2],All,12,Yes,Yes,Yes,No,18 (17 with supervision of parents),Yes
4,BG,Bulgaria,140,,90,50,0.05,Yes,All,10,Yes,Yes,Yes,Yes,18,Yes
5,BIH,Bosnia and Herzegovina,130,100,80,50,0.03,,Yes[3],12,Yes,Yes,Recommended,Yes,18,Yes
6,BY,Belarus,110,,90,60,<0.03,Yes,Yes[4],12,Yes,Yes,Yes,No,18,Yes
7,CH,Switzerland,120,,80 (100 on limited-access roads),50,0.05,Yes,All,,Yes,Recommended,Recommended,No,18,Yes
8,CY,Cyprus,100,,80,50,0.05,,All,12,"Yes, 2x",Recommended,Recommended,No,18,Yes
9,CZ,Czech Republic,130 (urban 80),110 (urban 80),90,50,0 (tolerated 0.02),Yes,All,,Yes,Yes,Recommended,Yes,18 (17 for B1 cars),Yes
10,D,Germany[5],no (130 recommended),no (130 recommended),100 (no / 130 recommended with two or more lanes per direction),50,0.05,No[6],All,,Yes,Yes,Recommended,No,18 (17 with supervision of >30 years old driver),No
11,DK,Denmark,130,,80,50,0.05,Yes,All,,Yes,Recommended,Recommended,No,18,Yes
12,E,Spain,doesn't use,120,100,50,0.05,Yes,All,,"Yes, 2x",Recommended,Recommended,No,18,Yes
13,EST,Estonia,120,110,90,50,0,,All,,Yes,Yes,Yes,No,18 (16 with supervision of a person with 2+ years of driving experience),Yes
14,F,France,130 (rain/wet 110),110 (rain/wet 100),90 (rain/wet 80),50,0.05,Yes,All,10,Yes,Recommended,Recommended,No,18 (15 with supervision of a person with 5+ years of driving experience),Yes
15,FIN,Finland,120[7],,80,50,0.05,No,All,3,Yes,Recommended,Recommended,No,18,Yes
16,FL,Liechtenstein,,,80,50,0.08,,All,,Yes,Yes,Recommended,No,18,Yes
17,GB,United Kingdom,112,112,97,48,0.08 (0.05 Scotland),,All,,Recommended,Recommended,Recommended,No,17,Yes
18,GR,Greece,130,,90,50,0.05,,All,12,Yes,Yes,Yes,No,18,Yes
19,H,Hungary,130,110,90,50,0,Yes,All,12,Yes,Yes,Recommended,No,18 (17 with supervision of someone with 10+ years drive-experience),Yes
