,Aggregate score,Aggregate score.1
0,Aggregator,Score
1,GameRankings,SNES: 83%[38]
2,Review scores,Review scores
3,Publication,Score
4,Amstrad Action,Amstrad: 97%[39]
5,Crash,Spectrum: 91%[12]
6,EGM,LYNX: 6.8/10[41]CD-i: 6.25/10[42]
7,IGN,LYNX: 9/10[43]
8,Next Generation,3DO: [46]
9,Your Sinclair,Spectrum: 91%[14]
10,MegaTech,SMD: 92%[44]
11,Mega,SMD: 90%[45]
