,Library Name,Unnamed: 1,Unnamed: 2,Supported Chart Types,Supported Chart Types.1,Supported Chart Types.2,Supported Chart Types.3,Supported Chart Types.4,Supported Chart Types.5,Supported Chart Types.6,Supported Chart Types.7,Supported Chart Types.8,Supported Chart Types.9,Supported Chart Types.10,Supported Chart Types.11,Supported Bar Chart Types,Supported Bar Chart Types.1,Supported Bar Chart Types.2,Supported Bar Chart Types.3,Supported Bar Chart Types.4,Other Features,Interactivity,Interactivity.1,Rendering Technologies,Rendering Technologies.1,Rendering Technologies.2,Databinding,HTML 5 Canvas
0,Library Name,License,Free,Line,Timeline,Scatter,Area,Pie,Donut,Bullet,Radar,Funnel,Gantt,Network,Grouped,Stacked,Negative,Discrete,Horizontal,3D,Legends,Mouse Over,onClick,HTML5 Canvas,SVG,VML,AxisXY,WebGL rendering
1,amCharts,Proprietary,Free with a link [1] or commercial[2],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes[3],Yes,,
2,AnyChart,Proprietary,Free for education and non-profit use.[4] Paid for commercial applications.[5],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,
3,ApexCharts,MIT[6],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,No,,
4,C3.js,MIT[7],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,No,Yes,
5,CanvasJS,Proprietary[8],"Free for Personal, Educational and Non-Commercial Uses",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes[9],No,No,Yes,
6,canvasXpress,"GPLv3, name/email required for source link[10]",Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,Yes,Yes[11],No,Yes[12],,
7,Chartist,WTFPL[13] or MIT[14],Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,No,Yes,No,,
8,Chart.js,MIT[15],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,No,
9,Chart Builder By Livegap,Free,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,No[16],No,,
