,Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult single day lift ticket price (USD),Date statistics updated
0,Ski Bromont,Bromont,Quebec,1854,590.0,1264.0,450,141.0,9.0,190,$54,"December 1, 2019[1]"
1,Apex Mountain Resort,Penticton,British Columbia,7197,5197.0,2000.0,1112,79.0,4.0,236,$65,"November 30, 2019[2]"
2,Canyon Ski Area,Red Deer,Alberta,2950,2412.0,538.0,80,23.0,6.0,45,$35,"November 30, 2019[3]"
3,Fernie Alpine Resort,Fernie,British Columbia,7000,3450.0,3550.0,2500,142.0,10.0,360,$90,"November 30, 2019[4]"
4,Marble Mountain Ski Resort,Steady Brook,Newfoundland and Labrador,1791,1759.0,32.0,230,40.0,5.0,192,$34,"December 1, 2019[5]"
5,White Hills Ski Resort,Clarenville,Newfoundland and Labrador,1227,482.0,745.0,55,27.0,2.0,100,$38,"December 1, 2019[6]"
6,Ski Wentworth,Wentworth,Nova Scotia,990,715.0,815.0,150,20.0,3.0,150,$35,"December 1, 2019[7]"
7,Mount Sima,Whitehorse,Yukon,3900,2857.0,1043.0,92,15.0,3.0,,$37,"November 30, 2019[8]"
8,Shames Mountain,Terrace,British Columbia,3900,2300.0,1600.0,225,28.0,3.0,480,$43,"November 30, 2019[9]"
9,Castle Mountain Resort [1],Pincher Creek,Alberta,7463,4630.0,2833.0,3592,94.0,6.0,354,$71.75,"November 15, 2019[10]"
10,Bolton Valley [2],Waterbury,Vermont,3150,2100.0,1704.0,300,71.0,6.0,312,$69,"October 17, 2019[11]"
11,Cooper [3],Leadville,Colorado,11700,10500.0,1200.0,400,41.0,4.0,260,$62,"September 19, 2019[12]"
12,Grand Targhee Resort [4],Alta,Wyoming,10121,7851.0,2270.0,2602,99.0,5.0,500,$98,"September 19, 2019[13]"
13,Stratton Mountain Resort [5],Winhall,Vermont,3875,1872.0,2003.0,670,99.0,11.0,171,$125,"September 9, 2019[14]"
14,Mt. Rose Ski Tahoe,Reno,Nevada,9700,8260.0,1800.0,1200,60.0,8.0,396,$135,"November 7, 2019[15]"
15,Soldier Mountain,Fairfield,Idaho,7177,5756.0,1400.0,1180,36.0,2.0,,$45,"November 7, 2019[16]"
16,Pomerelle Mountain Resort,Albion,Idaho,9000,8000.0,1000.0,500,24.0,2.0,500,$45,"November 7, 2019[17]"
17,Schweitzer,Sandpoint,Idaho,6400,4000.0,2400.0,2900,92.0,7.0,300,$86,"November 7, 2019[18]"
18,Brundage Mountain,McCall,Idaho,7803,5882.0,1921.0,1920,46.0,5.0,320,$73,"November 7, 2019[19]"
19,Bogus Basin,Boise,Idaho,7582,5800.0,1800.0,2600,78.0,7.0,200,$64,"November 7, 2019[20]"
20,Sun Valley,Sun Valley,Idaho,9150,5750.0,3400.0,2154,121.0,18.0,220[21],$133,"November 7, 2019[22]"
