,Name,Creator,First public version(date),"Latest stable version(date, number)",Cost,Software license
0,Altap Salamander,Altap,"August 15, 1997","July 1, 2019; 5 months ago (4.0)",Free,Proprietary
1,Commander One,Eltima Software,"August 4, 2015",2019; 0 years ago (2.3),US$29.95[1],Proprietary
2,CRAX Commander,Soft4U2,"September 1, 2013","June 5, 2018; 18 months ago (1.11.1)",US$19.99[1],Proprietary
3,Directory Opus,"Jonathan Potter,GPSoftware",Amiga: v1 (1990-01-03)Windows: v6 (2001-06-18),"December 19, 2018; 11 months ago (12.11)",A$49 lite / A$89 pro,Proprietary
4,Dired,"integral part of Emacs,part of the GNU project",1974?,"July 30, 2009; 10 years ago (7.17)",Free,GPL
5,Documents by Readdle,Readdle,,,Free,Proprietary
6,Dolphin,KDE,"June 7, 2006 (0.5)",19.08.2 (10 October 2019; 56 days ago[2]) [±],Free,GPL
7,DOS Navigator,Ritlabs,1991 (0.90),1999 (1.51),Free,BSD original
8,DOS Shell,Microsoft / IBM,1988,1998,Part of MS-DOS/PC DOS (OS),Proprietary
9,Double Commander,Alexander Koblov (alexx2000) and others,2007,"July 7, 2019; 4 months ago (0.9.5)",Free,GPL
10,emelFM2,tooar,"September 6, 2003","February 18, 2014; 5 years ago (0.9.1)",Free,GPL
11,Explorer++,David Ercig,"January 8, 2008","February 3, 2013; 6 years ago (1.3.5)",Free,GPL
12,Far Manager,Eugene Roshal (original); Far Group,1996,3.0 build 5000 (7 August 2017; 2 years ago) [±],Free,BSD revised
13,File Commander,Brian Havard,1993,"March 3, 2011; 8 years ago (2.40)",A$35.00,Proprietary
14,File Explorer[3],Microsoft,"August 24, 1995","July 29, 2015; 4 years ago",Part of Windows (OS),Proprietary
15,File Manager,Microsoft (Ian Ellison-Taylor),1990,"January 7, 2019; 10 months ago (10.0.1901.1)[4]",Part of Windows (OS),MIT[4]
16,Files (Apple),Apple Inc.,"September 19, 2017; 2 years ago",,Part of iOS (OS),Proprietary
17,Files by Google,Google LLC,5 December 2017; 24 months ago,,Free,Proprietary
18,GeoManager,"Berkeley Softworks[5], Breadbox Ensemble[6]",1990,2009,Part of PC/GEOS (OS),Proprietary
19,Finder,Apple Inc.,January 1984,"August 13, 2015; 4 years ago (10.10.5)",Part of macOS (OS),Proprietary
20,fman,Michael Herrmann,"July 18, 2016","April 22, 2019; 7 months ago (1.5.8)",US$18[1],Proprietary
21,ForkLift,BinaryNights,"June 1, 2007","April 10, 2018; 19 months ago (3.2.2)",US$29.95[1],Proprietary
22,gentoo,Emil Brink,?,"March 18, 2012; 7 years ago (0.19.13)",Free,GPL
23,GNOME Commander,GNOME Commander,September 2001,"May 28, 2017; 2 years ago (1.6.4)",Free,GPL
24,GNOME Files[7],Eazel,"April 11, 2001",3.34.1[8] (7 October 2019; 59 days ago) [±],Free,GPL
25,Konqueror,KDE,October 2000,"4.14.38 (November 7, 2017; 2 years ago) [±][9]",Free,GPL
26,Krusader,Krusader Krew,"July 11, 2000","2.7.2 ""Peace of Mind"" (August 25, 2019; 3 months ago[10]) [±]",Free,GPL
27,Midnight Commander[11],GNU Midnight Commander,< May 1994[12],"December 12, 2018; 11 months ago (4.8.22)",Free,GPL
28,muCommander,Maxence Bernard,"February 17, 2002","December 8, 2018; 11 months ago (0.9.3)",Free,GPL
29,Nemo,Linux Mint,July 2012 (1.0.0),"December 11, 2018 (4.0.5)[13]",Free[14],GPL
30,Nomad.NET,Eugene Sichkar,"August 14, 2008 (2.2.0.537 beta)","June 13, 2016; 3 years ago (3.2.0.2890)",Free,Proprietary
31,Norton Commander,"Peter Norton Computing,later Symantec corporation",1986,"February 1, 1999 (2.01 WindowsDOS: 1998-07-01 (5.51))",?,Proprietary
32,Path Finder[15],Cocoatech,April 2001,"September 2, 2014; 5 years ago (7)",US$39.95,Proprietary
33,PathMinder,Albert Nurick andBrittain Fraley,1984,1988 (4.11),US$39.95,Proprietary
34,PCManFM,Hong Jen Yee,"January 9, 2006","February 21, 2016; 3 years ago (1.2.4)",Free,GPL
35,PC Shell,Central Point Software,1986,,paid[16],Proprietary
36,ROX-Filer,Thomas Leonard et al.,"Before March 10, 2000","October 9, 2011; 8 years ago (2.11)",Free,GPL
37,SpaceFM,IgnorantGuru,"January 13, 2012 (0.5.0)","January 20, 2016; 3 years ago (1.0.5)",Free,GPL
38,STDU Explorer,STDUtility,"March 23, 2009","May 24, 2012; 7 years ago (1.0.465)",Free,Proprietary
39,Tabbles,Yellow blue soft UAB,"August 1, 2009","August 12, 2016; 3 years ago (3.1.29)",US$29.95[1],Proprietary
40,Thunar,Xfce,"January 22, 2006","June 6, 2018; 17 months ago (1.8.0)[17]",Free,GPL
41,Total Commander[18],Christian Ghisler,"September 25, 1993; 26 years ago (1.00d)","March 29, 2019; 8 months ago (9.22a)","CHF40, €37, US$42[1]",Proprietary
42,ViewMAX,Digital Research / Novell,1990 (1.0),1993 (3.0),Part of DR-DOS (OS),GPL[19]
43,Volkov Commander,Vsevolod Volkov,circa 1992,"4.05 (February 21, 2001; 18 years ago) [±]",shareware / freeware,Proprietary
44,WinSCP,WinSCP,"September 30, 2000","5.15.9[20] (December 5, 2019; 0 days ago) [±]",Free,GPL
45,Xandros File Manager,Xandros Corporation,?,"July 26, 2007; 12 years ago (4.2)",Part of Xandros Desktop,Proprietary
46,Xfe,Roland Baudin,2002,"September 16, 2018; 14 months ago (1.43.1)",Free,GPL
