,Name,License,Kernel type,Kernel programming language,Kernel thread support,OS family,Oldest non-EOL version[Note 1],Forks
0,Linux,GPL/LGPL,Monolithic with modules,C,1:1,Unix-like,3.16,elks
1,FreeBSD,"BSD; GPL, LGPL software usually included",Monolithic with modules,C,1:1,"BSD, Unix-like",11,DragonFly BSD
2,OpenBSD,BSD,Monolithic,C,1:1,"BSD, Unix-like",6.4,MirOS
3,NetBSD,BSD,Monolithic with modules,C,1:1,"BSD, Unix-like",7.0,OpenBSD
4,DragonFly BSD,BSD,Hybrid,C,1:1,"BSD, Unix-like",No,
5,"OpenSolaris, illumos",CDDL,Monolithic with modules,C,"1:1, M:N",Unix,No,
6,AuroraUX,BSD/CDDL,Monolithic with modules,"C, Ada","1:1, M:N",Unix,No,
7,"Darwin, OpenDarwin",APSL,Hybrid,"C, C++[Note 2]",1:1,"BSD, Unix, Unix-like, OS X",No,
8,MINIX,BSD,Microkernel,C,,Unix-like,No,
9,RedoxOS,MIT,Microkernel,Rust,,Unix-like,No,
10,FreeRTOS,modified GPL,RTOS,C,,RTOS,No,
11,FreeDOS,GPL,Monolithic,C,,DOS,1.1,
12,Genode,AGPL,Microkernel,C++,1:1,Genode,,
13,Haiku,MIT,Hybrid,"C, C++",,BeOS,No,TiltOS
14,House,BSD,,Haskell,,own/original,No,
15,KolibriOS,GPL,Monolithic,ASM,,MenuetOS,No,
16,MenuetOS,"Menuet 64, commerce excluded",Monolithic,ASM,,own/original,No,KolibriOS
17,GNU,GPL,"Multiserver Microkernel (Hurd kernel) or Monolithic (Linux-libre kernel, fork of Linux kernel, and other kernels which are not part of the GNU Project)",C,1:1,Unix-like,2.4 on Linux-libre kernel (not on Hurd kernel),Linux
18,ReactOS,"GPL, LGPL",Hybrid,"C, C++",,Windows-like,No,
19,RISC OS,Apache 2.0,Monolithic (with co-operative multitaslking),ARM assembly,,RISC OS,No,RISC OS 6
20,"L4, Fiasco, Pistachio","Some GPL, some BSD",Microkernel,C++,,L4,No,
21,Plan 9,LPL,Hybrid,C,"1:1, 1:M Cothread style.","own, Unix informed",No,"Inferno, Plan B"
22,AROS,APL,Exokernel,C,,AmigaOS,No,
23,Syllable,GPL,Monolithic with modules,"C, C++",1:1,"Unix-like, BeOS, AmigaOS, POSIX",No,
24,Inferno,"GPL, LGPL; MIT",,C,,Plan 9,No,OzInferno
25,NuttX,BSD,RTOS,C,,RTOS,No,
26,eCos,"modified GPL, eCos",RTOS,"C, C++",,RTOS,No,
27,RTEMS,"modified GPL, BSD, Stanford",RTOS,C and ASM with native support for other languages including C++ and Ada,"POSIX, RTEID/ORKID, uITRON",RTOS,4.7.1,
28,HelenOS,BSD,Microkernel,C,M:N,own/original,No,
29,E/OS,GPLv2,Monolithic,"ASM, C",1:1,"BeOS, Unix-like",No,
30,TempleOS,public domain,Monolithic,"HolyC, C, C++",,Commodore 64-like,No,
31,Name,License,Kernel type,Kernel programming language,Kernel thread support,OS family,Oldest non-EOL version,Forks
