,Unnamed: 0,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
0,del,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,ins,Yes,Yes,Yes,Yes,Yes,Yes,Yes
