,Operator,Languages
0,+,"ALGOL 68, BASIC, C++, C#, Cobra, Pascal, Object Pascal, Eiffel, Go, JavaScript, Java, Python, Turing, Ruby, Rust, Windows PowerShell, Objective-C, Swift, F#, Scala, Ya"
1,++,"Haskell, Erlang"
2,$+,mIRC Scripting Language
3,&,"Ada, AppleScript, COBOL (for literals only), Curl, Seed7, VHDL, Visual Basic, Visual Basic .NET, Excel, FreeBASIC"
4,nconc,Common Lisp
5,.,"Perl, PHP, and Maple (up to version 5), Autohotkey"
6,~,Raku and D
7,||,"Icon, Standard SQL, PL/I, Rexx, and Maple (from version 6)"
8,<>,"Mathematica, Wolfram Language"
9,..,Lua
10,:,Pick Basic
11,,"J programming language, Smalltalk, APL"
12,^,"OCaml, Standard ML, F#, rc"
13,//,Fortran
14,*,Julia
