,Unnamed: 0,2011[158],2012[159],2013[160],2014[161],2015[162],2016[163],2017[164],2018[165],Total
0,China,19,19,15,16,19,22,18,39,167
1,India,3,2,4,5,5,7,5,7,38
2,Japan,3,2,3,4,4,4,7,6,33
3,Iran,1,3,1,-,1,-,1,-,7
4,North Korea,-,2,-,-,-,1,-,-,3
5,Israel,-,-,-,1,-,1,-,-,2
6,South Korea,-,-,1,-,-,-,-,-,1
7,Total,26,28,24,26,29,35,31,52,251
