,License,Author,Latest version,Publication date
0,,,,
1,Eiffel Forum License,NICE,2,2002
2,freebsd,freebsd,1.0,2018
3,Intel Open Source License,Intel Corporation,,?
4,PHP License,PHP Group,3.01,?
5,RealNetworks Public Source License,RealNetworks,?,?
6,Reciprocal Public License,Scott Shattuck,1.5,2007
7,Sun Industry Standards Source License,Sun Microsystems,?,?
8,Sun Public License,Sun Microsystems,?,?
9,Sybase Open Watcom Public License,Open Watcom,,2003-01-28
10,Zope Public License,Zope Foundation,2.1,?
