,File system,Host OS,Offline grow,Online grow,Offline shrink,Online shrink
0,FAT16 / FAT16B / FAT16X,misc.,Yes[54],No,Yes[54],No
1,FAT32 / FAT32X,misc.,Yes[54],No,Yes[54],No
2,exFAT,misc.,No,No,No,No
3,NTFS,Windows,Yes,Yes,Yes,Yes
4,ReFS,Windows,?,Yes,?,No
5,HFS+,macOS,No,Yes,No,Yes
6,APFS,macOS,?,?,?,?
7,HFS+,Linux,No,No,No,No
8,SquashFS,Linux,No,No,No,No
9,NOVA,Linux,No,No,No,No
10,JFS[55],Linux,Yes,No,No,No
11,XFS[56],Linux,No,Yes,No,No
12,Lustre[57],Linux,?,Yes,No,No
13,F2FS[58],Linux,Yes,No,No,No
14,NTFS[59],Linux,Yes,No,Yes,No
15,ext2[60],Linux,Yes,No,Yes,No
16,ext3[60],Linux,Yes,Yes,Yes,No
17,ReiserFS[61],Linux,Yes,Yes,Yes,No
18,Reiser4[62],Linux,Yes,Yes,Yes,No
19,ext4[60],Linux,Yes,Yes,Yes,No
20,Btrfs[63],Linux,Yes,Yes,Yes,Yes
21,NILFS[64],Linux,No,Yes,No,Yes
22,ZFS,misc.,No,Yes,No,Partial[65]
23,JFS2,AIX,?,Yes,?,Yes
24,UFS2[66],FreeBSD,Yes,Yes (FreeBSD 10.0-RELEASE or later),No,No
25,HAMMER,DragonflyBSD,?,?,?,?
