,Unnamed: 0,current object,current object's parent object,null reference,Current Context of Execution
0,Smalltalk,self,super,nil,thisContext
1,ABAP Objects,me,super,initial,
2,C++ (STL),*this,[40],"NULL, nullptr",
3,C#,this,base[41],,
4,Java,this,super[41],,
5,D,this,super[41],,
6,JavaScript,this,super[41] (ECMAScript 6),"null, undefined[42]",
7,eC,this,,,
8,Objective-C,self,super[41],nil,
9,Swift,self,super[41],nil[43],
10,Python,self[44],"super(current_class_name, self)[5]super() (3.x only)",None,
11,Visual Basic .NET,Me,MyBase,Nothing,
12,Xojo,Me / Self,Parent,Nil,
13,Eiffel,Current,Precursor «{superclass}» «(args)»[41][45],Void,
14,PHP,$this,parent[41],,
15,Perl,$self[44],$self->SUPER[41],undef,
16,Raku,self,SUPER,Nil,
17,Ruby,self,super«(args)»[46],nil,binding
18,Windows PowerShell,$this,,$NULL,
19,OCaml,self[47],super[48],N/A[49],
20,F#,this,base[41],,
21,COBOL,SELF,SUPER,,
22,Cobra,this,base,nil,
