,Product,Formats total #,.cbr,.cbz,.umd,.chm,.djvu,.epub,.fb2,.html,.mobi,.oeb,.rtf,.pdf,.txt,.doc,.docx,.pdb
0,Aldiko Book Reader,02+,?,?,?,No,No,Yes,No,No,No,No,No,Yes,No,?,?,?
1,AlReader,09+,?,?,?,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
2,Bookari,02+,?,?,?,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
3,Cool Reader,07+,?,?,?,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
4,EBookDroid,05+,?,?,?,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,?,?,?
5,Ebook Reader[5],02+,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
6,eReader Prestigio[6],09+,?,?,?,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,?
7,ezPDF Reader,04+,?,?,?,No,No,Yes,No,Yes,No,No,No,Yes,Yes,?,?,?
8,FBReader [7],11+,?,?,?,No,Plugin[8],Yes,Yes,Yes,Yes,Yes,Yes,Plugin[9],Yes,Yes,No,Yes
9,Google Play Books,02+,?,?,?,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
10,iReader,02+,?,?,?,?,?,Yes,?,Yes,Yes,?,?,?,Yes,?,?,?
11,Kindle,02+,?,?,?,No,No,No,No,No,Yes,No,No,Yes,Yes,?,?,?
12,KOReader,13,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
13,Kobo Books,05+,?,?,?,No,No,Yes,No,Yes,No,No,Yes,No,Yes,?,?,?
14,Lektz eBook Reader,02+,?,?,?,No,No,Yes,No,No,No,No,No,Yes,No,?,?,?
15,Librera[10],13,Yes,Yes,?,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
16,Moon+ reader Pro,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
17,MReader[11],10+,?,?,?,No,No,Yes,No,No,No,No,No,No,No,No,No,No
18,PocketBook,07+,?,?,?,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
19,Snapplify,07+,?,?,?,No,No,Yes,No,Yes,No,No,No,Yes,Yes,?,?,?
20,Socio eReader,01+,?,?,?,No,No,Yes,No,No,No,No,No,No,No,?,?,?
21,Product,Formats total #,.cbr,.cbz,.umd,.chm,.djvu,.epub,.fb2,.html,.mobi,.oeb,.rtf,.pdf,.txt,.doc,.docx,.pdb
