,Unnamed: 0,FAT12,FAT16,FAT32,HPFS,ISO 9660,NTFS,UDF (More Info),ReFS
0,Windows Phone 8,?,Yes,Yes,No,?,Yes v5,?,No
1,Windows Phone 8.1,?,Yes,Yes,No,?,Yes v5,?,No
2,Windows 10 Mobile,?,Yes,Yes,No,?,Yes v5,?,?
