,Company,Software,On-demand scan,On-access scan,Firewall,AntiSpam,Web protection,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,License,Price,First release,Country of origin,Notes
0,Dr. Web,Dr. Web Mobile Security Suite,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Trialware,2006,Russia,
1,ESET,ESET Mobile Security,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Proprietary,Non-free,2010,Slovakia,
2,Kaspersky Lab,Kaspersky Mobile Security,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2008,Russia,Banned by USG
3,Seqrite,mSuite MDM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Non-free,1994,India,
4,Company,Software,On-demand scan,On-access scan,Firewall,AntiSpam,Web protection,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,License,Price,First release,Country of origin,Notes
