,Unnamed: 0,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
0,script,<3.1[IE 3.0] [2],Yes,Yes,Yes,Yes,Yes,Yes
1,noscript,<3.1[IE 3.0] [2][citation needed],Yes,Yes,Yes,Yes,Yes,Yes
