,John McCain,John McCain.1,Barack Obama,Barack Obama.1
0,John McCain said that it was critical to avoid further confrontation between Russian and Georgian forces. McCain wanted to work with the EU and the OSCE to pressure Russia to withdraw from all sovereign Georgian territory.[135],John McCain said that it was critical to avoid further confrontation between Russian and Georgian forces. McCain wanted to work with the EU and the OSCE to pressure Russia to withdraw from all sovereign Georgian territory.[135],,
1,Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
2,,,,
