,Unnamed: 0,Trident,Tasman,Gecko,WebKit,KHTML,Presto
0,DOM1,6.0,Yes,1.0,85,Yes,1.0
1,DOM2,Mostly,Partial,Mostly,Partial,Mostly,Mostly
2,DOM3,No,No,Partial,Partial,Partial,Partial
