,IRC daemon,Modularity,Remote includes,IPv6,Client SSL,SSL linking,Zip linking,"Hostmasking, cloaking",Services integration (built-in services),LDAP authentication,IRCX support,SASL support,SASL EXTERNAL support,Server protocol
0,Bahamut,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,TS5 with extensions
1,bIRCd,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,RFC 1459 and TSpre8
2,beware ircd,No,No,Yes,No,No,No,Yes,No,No,No,No,No,P10
3,Charybdis,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,TS6 with extensions
4,ConferenceRoom,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"Proprietary, binary"
5,FoxEye ircd,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,"RFC2813 with extensions, split-free network"
6,InspIRCd,Yes[64],Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Partial,Yes,Yes,custom[65]
7,IRCD,No,No,Yes,No,No,Yes,No,No,No,No,No,No,RFC 2813 with IDs
8,IRCD-Hybrid,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,TS6
9,ircd-ratbox,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,TS6
10,ircu,No,No,Yes,No,No,No,Yes,No,No,No,No,No,P10
11,ithildin,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Module-dependent
12,miniircd,No,No,No,Yes,No,No,No,No,No,No,No,No,No
13,Nefarious IRCu,No,No,2.0+,Yes,Yes,No,Yes,No,No,No,2.0+,2.0+,P10 with extensions
14,ngIRCd,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,RFC 2813
15,OfficeIRC Server,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Compatible with DreamForge and UnrealIRCd
16,Oragono,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No
17,PleXusIRCd,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,TS5/TS6
18,pureIRCd,No,No,No,No,No,No,No,No,No,No,No,No,No
19,RockIRCd,No,No,No,No,No,No,Yes,No,No,No,No,No,No
20,RubIRCd,Yes,No,Yes,Yes,No,No,Yes,Partial,No,No,No,No,TS5 with extensions
21,ShadowIRCd,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,TS6 with extensions
22,snircd,No,No,Yes,No,No,No,Yes,No,No,No,No,No,P10 with extensions
23,solid-ircd,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,TS5 with extensions
24,Synchronet IRCd,No,No,No,No,No,No,No,No,No,No,No,No,TS5 with extensions
25,UnrealIRCd,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Module,No,Yes,Yes,DreamForge/TS5 with extensions
26,WeIRCd,Partial,No,Yes,No,No,No,Yes,Yes (module),No,No,No,No,No
