,Model,Release Date,PCI Express (PCIe),PCI Express (PCIe).1,PCI Express (PCIe).2,USB:3.2 Gen 2 + 3.2 Gen 1 + 2.0,SATA + SATA Express[a],RAID,StoreMI,PBO,Processor overclocking,TDP,Market segment,CPU support[15],CPU support[15].1,CPU support[15].2
0,Model,Release Date,Chipset PCIe lanes[b],CrossFire,SLI,USB:3.2 Gen 2 + 3.2 Gen 1 + 2.0,SATA + SATA Express[a],RAID,StoreMI,PBO,Processor overclocking,TDP,Market segment,Zen,Zen+,Zen 2
1,X570,2019 July[16],PCIe 4.0 ×16,Yes,Yes,8 + 0 + 4,12,"0, 1, 10",Yes,Yes,Yes,~11 W[17][18],Performance / Enthusiast,No,Yes,Yes
2,X470,2018 March[19],PCIe 2.0 ×8,Yes,Yes,2 + 6 + 6,4 + 2,"0, 1, 10",Yes,Yes,Yes,~5 W[20],Performance / Enthusiast,Yes,Yes,Yes
3,X370,2017 February[21],PCIe 2.0 ×8,Yes,Yes,2 + 6 + 6,4 + 2,"0, 1, 10",No,No,Yes,~5 W[20],Performance / Enthusiast,Yes,Yes,Beta[c]
4,B450,2018 March[19],PCIe 2.0 ×6,Yes,No,2 + 2 + 6,2 + 1,"0, 1, 10",Yes,Yes,Yes,~5 W[20],Mainstream,Yes,Yes,Yes
5,B350,2017 February[21],PCIe 2.0 ×6,Yes,No,2 + 2 + 6,2 + 1,"0, 1, 10",No,No,Yes,~5 W[20],Mainstream,Yes,Yes,Beta[c]
6,A320,2017 February[21],PCIe 2.0 ×4,No,No,1 + 2 + 6,2 + 1,"0, 1, 10",No,No,No,~5 W[20],Entry level,Yes,Yes,"No/Beta, depending on mainboard manufacturer's BIOS updates"
