,Unnamed: 0,Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
0,Calligra Sheets,2.4+,"Windows, Mac OS X, Linux, Unix-based systems",Calligra Suite,KDE Project,GPL / LGPL,Yes,
1,EditGrid,,Any (Web-based),,Team and Concepts,Proprietary,Yes,
2,Gnumeric,1.12.5+,"Linux, Unix-based systems, Windows",,GNOME,GPL,Yes,Saves in ODF 1.2
3,Google Spreadsheets,,Any (Web-based),Google Docs & Spreadsheets,Google,Proprietary,no (not valid),
4,IBM Lotus Symphony,1.0+,"Windows, Linux, Mac OS X",IBM Lotus Symphony,IBM,Proprietary,Yes,
5,IBM Workplace Documents,2.5+,Any (Web-based),IBM Workplace Collaboration Services,IBM,Proprietary,Yes,no longer being actively marketed
6,KSpread / KCells,1.4+,"Linux, Unix-based systems",KOffice,KDE Project,LGPL,Yes,
7,LibreOffice Calc,3.3.0,"Windows, Linux, Unix-based systems, Mac OS X, Solaris",LibreOffice,LibreOffice,LGPL,Yes,
8,Microsoft Office Excel,2007 SP2,Windows,Microsoft Office,Microsoft,Proprietary,No (different results in validators),
9,NeoOffice Calc,1.2,Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,,Import only
10,NeoOffice Calc,2.2.5,Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,Yes,[1]
11,OpenOffice.org Calc,2.0+,"Windows, Linux, Unix-based systems, Mac OS X, Solaris",OpenOffice.org,OpenOffice.org,LGPL,Yes,
12,StarOffice Calc,8,"Windows, Linux, Solaris",StarOffice,Sun Microsystems,Proprietary,Yes,
13,Zoho Sheet,2006,Any (Web-based),Standalone,AdventNet,Proprietary,Yes,
14,,Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
