,OLAP server,Authentication,Network encryption,On-the-Fly[a],Data access,Data access.1,Data access.2
0,OLAP server,Authentication,Network encryption,On-the-Fly[a],Cell security,Dimension security,Visual totals
1,Apache Kylin,"LDAP, SAML, Kerboros, Microsoft Active Directory",SSL,Yes,No,No,?
2,Druid,Druid Database authentication,SSL,Yes,No,Yes,No
3,Apache Pinot (Incubating),Plugin based,Coming soon,Plugin based,?,?,?
4,Essbase,"Essbase authentication, LDAP authentication, Microsoft Active Directory",SSL,Yes,Yes,Yes,No
5,IBM Cognos TM1,"Builtin, LDAP, Microsoft Active Directory, NTLM, IBM Cognos BI authentication",SSL,Yes,Yes,Yes,Yes
6,icCube,"HTTP Basic/Form Authentication, Windows SSO (NTLM,Kerberos), Plugin Based for Embedded Usage",SSL,Yes,Yes,Yes,Yes
7,Infor BI OLAP Server,"OLAP authentication, Infor Federation Services, LDAP, Microsoft Active Directory",Yes,Yes,Yes,Yes,?
8,Jedox OLAP Server,"Jedox authentication, LDAP, Microsoft Active Directory",SSL,Yes,Yes,Yes,?
9,Kyligence,"LDAP, SAML, Kerboros, Microsoft Active Directory, Built-in",SSL,?,Yes,Yes,?
10,Kyvos,"Built-in, LDAP, Microsoft Active Directory, Windows SSO (NTLM, Kerberos)",SSL,Yes,Yes,Yes,No
11,Microsoft Analysis Services,"NTLM, Kerberos",SSL and SSPI,Yes,Yes,Yes,Yes
12,MicroStrategy Intelligence Server,"Host authentication, database authentication, LDAP, Microsoft Active Directory, NTLM, SiteMinder, Tivoli, SAP, Kerberos","SSL, AES[38]",?,Yes,Yes,Yes
13,Oracle Database OLAP Option,Oracle Database authentication,SSL,?,Yes,Yes,No
14,SAS OLAP Server[39],"Host authentication,SAS token authentication, LDAP, Microsoft Active Directory",Yes[40],?,Yes,Yes,Yes
