,Software,Collaborative software,Issue tracking system,Scheduling,Project Portfolio Management,Resource Management,Document Management,Workflow system,Reporting and Analyses
0,2-plan,Yes,No,Yes[20],Yes,Yes,Yes,Yes,Yes
1,24SevenOffice,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Actionspace,Yes,Yes,Yes,No,No,No (Integrates with SharePoint),Yes,Yes
3,Apache Allura,Yes,Yes,No,Yes,Yes,Yes,No,No
4,Apache OFBiz,Unknown,No,Yes,Yes,Yes,Yes,No,Unknown
5,Apache Bloodhound,Yes,Yes,No,No,No,No,Yes,No
6,Asana,Yes,No,Yes,Yes,Yes,No,Yes,Yes
7,Assembla,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Axosoft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Basecamp,Yes[21],No,No,No,Yes[19],Yes,No,No
10,Calligra Plan,No,No,Yes,No,Yes,No,No,No
11,CEITON,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Clarizen,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Collabtive,Yes,No,No,No,No,Yes,No,Yes
14,Compuware Changepoint,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,ConceptDraw Project,Yes[22],Yes[23],Yes[24],Yes,Yes,Yes,Yes,Yes
16,Concerto Project Management,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Copper Project,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
18,dotProject,Yes,Yes,No,Yes,Yes,Yes,No,Yes
19,DynaRoad,No,No,Yes,No,Yes,No,Yes,Yes
20,Easy projects,Yes,Yes,Yes,Yes,Yes,No,No,Yes
21,Eclipse PPM software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
22,Endeavour Software Project Management,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
23,eGroupWare,Yes,Yes,No,Yes,Yes,Yes,No,No
24,enQuire,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
25,FastTrack Schedule,Yes,No,Yes,Yes,Yes,No,Yes,Yes
26,Feng Office Community Edition,Yes,No,Yes,Yes,No,Yes,No,No
27,FinancialForce.com,No,No,Yes,No,Yes,No,No,Yes
28,FogBugz,Yes,Yes,Yes,No,Yes,No,Yes,Yes
29,Fossil-scm,Yes,Yes,No,No,No,No,No,No
30,Freedcamp,Yes,Yes,Yes,No,No,Yes,Yes,Yes
31,GanttProject,No,No,Yes,No,Yes,No,No,No
32,Genius Project,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33,Group-Office,Yes,No,Yes,No,No,Yes,No,No
34,GroveSite,Yes,Yes,Yes,Yes,No,Yes,No,No
35,Hall.com,Yes,No,No,No,Yes,Yes,No,No
36,Helix ALM,Yes,Yes,No,No,No,No,Yes,Yes
