,Client,Internet Explorer,Microsoft Edge,Mozilla Firefox,Opera,Safari,Google Chrome,other
0,BookmarkSync,Yes,No,Yes,Yes,Yes (Mac Only),No,SeaMonkey
1,Opera Link,No,No,No,Yes,No,No,"Opera Mini, Opera Mobile"
2,Firefox Sync,No,No,Yes,No,No,No,"Firefox for Mobile[15], SeaMonkey"
3,,,,,,,,
4,Eversync,Yes,No,Yes,Yes,No,Yes,No
5,Client,Internet Explorer,Microsoft Edge,Mozilla Firefox,Opera,Safari,Google Chrome,other
