,Zhuyin,Wade-Giles,MPS II,Yale,Tong-yong,HanyuPinyin,Gwoyeu Romatzyh,Gwoyeu Romatzyh.1,Gwoyeu Romatzyh.2,Gwoyeu Romatzyh.3,IPA
0,Zhuyin,Wade-Giles,MPS II,Yale,Tong-yong,HanyuPinyin,Tone 1,Tone 2,Tone 3,Tone 4,IPA
1,ㄚ,a,a,a,a,a,a,ar,aa,ah,a
2,ㄞ,ai,ai,ai,ai,ai,ai,air,ae,ay,ai
3,ㄢ,an,an,an,an,an,an,arn,aan,ann,an
4,ㄤ,ang,ang,ang,ang,ang,ang,arng,aang,anq,aŋ
5,ㄠ,ao,au,au,ao,ao,au,aur,ao,aw,au
6,ㄓㄚ,cha,ja,ja,jha,zha,ja,jar,jaa,jah,ʈʂa
7,ㄔㄚ,chʻa,cha,cha,cha,cha,cha,char,chaa,chah,ʈʂʰa
8,ㄓㄞ,chai,jai,jai,jhai,zhai,jai,jair,jae,jay,ʈʂai
9,ㄔㄞ,chʻai,chai,chai,chai,chai,chai,chair,chae,chay,ʈʂʰai
10,ㄓㄢ,chan,jan,jan,jhan,zhan,jan,jarn,jaan,jann,ʈʂan
11,ㄔㄢ,chʻan,chan,chan,chan,chan,chan,charn,chaan,chann,ʈʂʰan
12,ㄓㄤ,chang,jang,jang,jhang,zhang,jang,jarng,jaang,janq,ʈʂaŋ
13,ㄔㄤ,chʻang,chang,chang,chang,chang,chang,charng,chaang,chanq,ʈʂʰaŋ
14,ㄓㄠ,chao,jau,jau,jhao,zhao,jau,jaur,jao,jaw,ʈʂau
15,ㄔㄠ,chʻao,chau,chau,chao,chao,chau,chaur,chao,chaw,ʈʂʰau
16,ㄓㄜ,chê,je,je,jhe,zhe,je,jer,jee,jeh,ʈʂɤ
17,ㄔㄜ,chʻê,che,che,che,che,che,cher,chee,cheh,ʈʂʰɤ
18,ㄓㄟ,chei,jei,jei,jhei,zhei,jei,jeir,jeei,jey,ʈʂei
19,ㄓㄣ,chên,jen,jen,jhen,zhen,jen,jern,jeen,jenn,ʈʂən
20,ㄔㄣ,chʻên,chen,chen,chen,chen,chen,chern,cheen,chenn,ʈʂʰən
21,ㄓㄥ,chêng,jeng,jeng,jheng,zheng,jeng,jerng,jeeng,jenq,ʈʂəŋ
