,Name,Users,Projects,Alexa rank (lower = more popular)
0,Assembla,Unknown,"526,581+[43]","23,052 as of 9 September 2019[44]"
1,Bitbucket,"5,000,000[45]",Unknown,989 as of 9 September 2019[46]
2,Buddy,Unknown,Unknown,"73,518 as of 9 September 2019[47]"
3,CloudForge,Unknown,Unknown,"339,271 as of 9 September 2019[48]"
4,Gitea,Unknown,Unknown,"209,697 as of 9 September 2019[49]"
5,GitHub,"31,000,000[50]","100,000,000[50]",65 as of 9 September 2019[51]
6,GitLab,"100,000[52]","546,000[53][k]","2,146 as of 9 September 2019[54]"
7,GNU Savannah,"93,346[55]","3,848[55]","100,244 as of 9 September 2019[56]"
8,Launchpad,"3,965,288[57]","40,881[58]","12,344 as of 9 September 2019[59]"
9,OSDN,"54,826[60]","6,294[60]","8,529 as of 9 September 2019[61]"
10,Ourproject.org,"6,353[62]","1,846[62]","1,191,954 as of 9 September 2019[63]"
11,OW2 Consortium,Unknown,Unknown,"610,052 as of 9 September 2019[64]"
12,Rosetta code,Unknown,Unknown,"62,045 as of 9 September 2019[65]"
13,SEUL,Unknown,Unknown,"1,268,571 as of 9 September 2019[66]"
14,SourceForge,"3,700,000[67]","500,000[67]",407 as of 9 September 2019[68]
15,Name,Users,Projects,Alexa rank (lower = more popular)
