,Distribution,Default Linux kernel,Default file system,Default init system,Install-time desktop environment or window manager selection,Reproducible builds
0,Alpine Linux,Binary blobs,ext4,openrc,none,No
1,ALT Linux,Binary blobs,ext3,systemd,"KDE Plasma Workspaces, Xfce",No
2,Arch Linux,Binary blobs[80],none[81],systemd,none,No
3,BLAG,Linux-libre,ext3,sysvinit,GNOME,No
4,Bodhi Linux,Binary blobs,ext4,systemd,Moksha (Enlightenment fork),No
5,Canaima,Binary blobs[80],?,systemd,Cinnamon and MATE,No
6,CentOS,Binary blobs[80],xfs,systemd,GNOME,No
7,Chakra,Binary blobs,ext4,systemd,KDE Plasma Workspaces,No
8,ClearOS,Binary blobs,ext3,systemd,none (Web based),No
9,CoreOS,Binary blobs,ext4,systemd,None,No
10,CrunchBang Linux,Binary blobs,ext4,sysvinit,Openbox,No
11,Damn Small Linux,Binary blobs,ext3,sysvinit,JWM,No
12,Debian,"By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally.[80] Built with Linux-libre tools.[82]",ext4,systemd,"GNOME, KDE, Xfce, LXDE[83]",In progress[84][85]
13,Devuan,Binary blobs,ext4,sysvinit,Xfce,No
14,Dragora GNU/Linux-Libre,Linux-libre,ext4,runit,Xfce,No
15,dyne:bolic,Linux-libre,?,systemd,GNOME,No
16,Fedora,Binary blobs,ext4,systemd,"GNOME (default Workstation Edition), Spins for: KDE Plasma Workspaces, Xfce, LXDE, MATE (with Compiz), Cinnamon, Sugar on a Stick",In progress[86]
17,Funtoo,Binary blobs,none,openrc,None,No
18,Gentoo,Binary blobs,none,openrc,"Awesome, Enlightenment, Fluxbox, GNOME, KDE, LXDE-Meta, Openbox, XBMC and Xfce (live DVD)[87]",No
19,gNewSense,"Debian Linux kernel, and (unlike Debian) blobs cannot be installed[82]",ext3,sysvinit,GNOME,No
20,gnuLinEx,Binary blobs,ext2,?,GNOME,No
21,Guix,Linux-libre,"btrfs, ext4",GNU Shepherd,"GNOME, Xfce, Mate, Enlightenment, i3, ratpoison, xmonad",In progress[88]
22,Hyperbola GNU/Linux-libre,Linux-libre,none,openrc[89],none,No
23,Instant WebKiosk,Binary blobs,SquashFS,systemd,Has no DE. It's a browser-only interface,No
24,Kali Linux,Binary blobs,ext3,systemd,GNOME,No
25,Knoppix,Binary blobs,xfs,microknoppix,LXDE,No
26,LibreCMC[90],Binary blobs,ext4,busybox-init,none,No
27,Linux Mint[91],Binary blobs[80],ext4,systemd,"MATE, Cinnamon, KDE 4, XFCE",No
28,Mageia,Binary blobs,ext4,systemd,"KDE Plasma Workspaces, GNOME",No
29,Mandriva Linux,Binary blobs,ext4,systemd,KDE Plasma Workspaces,No
30,Manjaro Linux,Binary blobs,none[92],systemd,"Xfce, KDE, GNOME [93]",No
31,MEPIS,Binary blobs,"ext3, ext4",sysvinit,KDE Plasma Workspaces,No
32,Musix GNU+Linux[94],Linux-libre,ext4,initscripts,LXDE,No
33,OpenELEC,Binary blobs,SquashFS,shell script,XBMC Media Center,No
34,openSUSE,Binary blobs,btrfs,systemd,"KDE Plasma Workspaces, GNOME, Xfce",In progress[95]
35,OpenWrt,Binary blobs,overlayfs+SquashFS/JFFS2[96],procd[97],none,No
36,Parabola GNU/Linux-libre,Linux-libre,none,openrc or systemd,none,No
37,Pardus,Binary blobs,ext4,systemd,KDE Plasma Workspaces,No
38,Parsix,Binary blobs,ext4,systemd,GNOME,No
39,PCLinuxOS,Binary blobs,none,sysvinit,"KDE Plasma Workspaces, GNOME, LXDE, Xfce, Enlightenment, Openbox",No
40,Pentoo,Binary blobs,SquashFS,openrc,Enlightenment,No
