,Model(Codename),Launch,Architecture(Fab),Core,Core.1,Fillrate[a][b],Fillrate[a][b].1,Processing power[c](GFLOPS),Memory,Memory.1,Memory.2,Memory.3,Bus interface,Notes
0,Model(Codename),Launch,Architecture(Fab),Config[d](CU),Clock (MHz),Texture (GT/s),Pixel (GP/s),Processing power[c](GFLOPS),Size (MB),Bus type& width (bit),Clock (MHz),Band-width (GB/s),Bus interface,Notes
1,FirePro M5725 [266](M96 GL),2009-01-01,Terascale 2(55 nm),320:32:8(3),680,21.6,5.4,432,256,GDDR3128-bit,800,25.6,PCIe 2.0 x16,
2,FirePro M5800 [267](Madison XT GL),2010-03-01,Terascale 2(40 nm),400:20:8(5),650,13,5.2,520,1024,GDDR5128-bit,800,25.6,PCIe 2.0 x16,HP EliteBook 8540w
3,FirePro M3900 [268](Seymour XT),2011-04-13,Terascale 2(40 nm),160:8:4(2),700,6.0,3.0,224,1024,DDR364-bit,900,14.4,PCIe 2.1 x16,HP Elitebook 8460w
4,FirePro M5950 [269](Whistler XT),2011-01-04,Terascale 2(40 nm),480:24:8(6),725,17.4,5.8,696,1024,GDDR5128-bit,900,57.6,PCIe 2.1 x16,"Dell Precision M4600, HP EliteBook 8560w"
5,FirePro M7740 [270](M97XT GL),2009-08-04,Terascale 1(40 nm),640:32:16(8),650,20.8,10.4,832,1024,GDDR5128-bit,1000,64,PCIe 2.0 x16,Dell Precision M6400 and M6500
6,FirePro M7820 [271](Juniper XT),2010-05-01,Terascale 2(40 nm),800:40:16(10),700,28,11.2,1120,1024,GDDR5128-bit,1000,64,PCIe 2.0 x16,"Dell Precision M6500, HP EliteBook 8740w"
7,FirePro M8900 [272](Blackcomb XT GL),2011-04-12,Terascale 2(40 nm),960:48:32(12),680,32.64,21.76,1310,2048,GDDR5256-bit,900,115.2,PCIe 2.1 x16,Dell Precision M6600
8,FirePro M2000 [273](Turks GL),2012-07-01,Terascale 2(40 nm),480:24:8(6),500,12,4,480,1024,GDDR564-bit,800,25.6,PCIe 2.1 x16,HP EliteBook 8470w
9,FirePro M4000 [274](Chelsea XT GL),2012-06-27,GCN 1st gen(28 nm),512:32:16(8),600,19.2,9.6,614,2048,GDDR5128-bit,1000,51.2,PCIe 2.1 x16,"HP EliteBook 8570w, HP EliteBook 8770w, Dell Precision M4700 (e.g. Consumer HD7700M Serie DevID 682D)"
10,FirePro M6000 [275](Heathrow XT GL),2012-06-27,GCN 1st gen(28 nm),640:40:16(10),800,30,12,960,2048,GDDR5128-bit,1000,64,PCIe 3.0 x16,Dell Precision M6700
11,FirePro M4100 [276](Mars),2013-10-16,GCN 1st gen(28 nm),384:24:8(6),670,16.1,5.4,514,2048,GDDR5128-bit,1000,64,PCIe 3.0 x16,HP ZBook 14
12,FirePro W4170M [277](Mars XTX),2014-04-28,GCN 1st gen(28 nm),384:24:8(6),825,19.8,6.6,691.2,2048,GDDR5128-bit,1125,72,PCIe 3.0 x16,"Dell Precision M2800, HP ZBook 15u G2"
13,FirePro W4190M [278](Opal),2015-11-12,GCN 1st gen(28 nm),384:24:8(6),825,19.8,6.6,634,2048,GDDR5128-bit,900,72,PCIe 3.0 x16,"HP ZBook 15u G3, MXM-3-A, OpenGL 4.6, OpenCL 2.0, TDP 25W [279]"
14,FirePro M5100 [280](Venus XT),2013-10-16,GCN 1st gen(28 nm),640:40:16(10),775,31,12.4,992,2048,GDDR5128-bit,1125,72,PCIe 3.0 x16,"Dell Precision M4800, Panasonic Toughbook 54, HP ZBook 15 G2 (e.g. R9 M200X Serie DevID 6821)"
15,FirePro W5130M [281](Tropo LE),2015-10-02,GCN 1st gen(28 nm),512:32:16(8),up to 925,28.8,14.4,up to 950,up to 2048,GDDR5128-bit,1000,64,PCIe 3.0 x16,"Dell Precision 3510 (e.g. Consumer R7 M465X DevID 682B) MXM-3-A, DirectX 12.0 (feature level 11_1), OpenGL 4.6, OpenCL 2.0, Vulkan 1.0, TDP 35W [282]"
16,FirePro W5170M [283](Tropo XT),2014-08-25,GCN 1st gen(28 nm),640:40:16(10),up to 925,36.0,14.4,up to 1180,up to 2048,GDDR5128-bit,1125,72,PCIe 3.0 x16,"Dell Precision 7510, Dell Precision 7710, HP ZBook 15 G3 (e.g. Consumer R9 M375X DevID 6820 REV 083) MXM-3-A, DirectX 12.0 (feature level 11_1), OpenGL 4.6, OpenCL 2.0, Vulkan 1.0, TDP 45W [284]"
17,FirePro M6100 [285](Saturn XT GL),2013-10-16,GCN 2nd gen(28 nm),768: 48:16(12),up to 1100,51.6,17.2,1651.2,2048,GDDR5128-bit,1375/1500,88/96,PCIe 3.0 x16,"Dell Precision M6600 / M6800, HP Zbook 17 G2"
18,FirePro W6150M [286](Saturn XT GL),2015-11-12,GCN 2nd gen(28 nm),768:48:16(12),1075,51.6,17.2,1651,4096,GDDR5128-bit,1375,88,PCIe 3.0 x16,"HP Zbook 17 G3, MXM-3-B, OpenGL 4.6, OpenCL 2.0, TDP 100W [287]"
19,FirePro W6170M [288](Saturn XT GL),2014-08-25,GCN 2nd gen(28 nm),768:48:16(12),1075,51.6,17.2,1651,4096,GDDR5128-bit,1375,88,PCIe 3.0 x16,HP ZBook 17 G2
20,FirePro W7170M [289](Amethyst XT),2015-10-02,GCN 3rd gen(28 nm),2048:128:32(32),723,92.5,23.1,2960,4096,GDDR5256-bit,1250,160,PCIe 3.0 x16,"Dell Precision 7710, MXM-3-B, DirectX 12.0 (feature level 11_1), OpenGL 4.6, OpenCL 2.0, Vulkan 1.0, TDP 100W [290]"
