,Model(codename),Release Date& Price,Architecture& Fab,Transistors& Die Size,Core,Core.1,Fillrate[a][b][c],Fillrate[a][b][c].1,Processing power[a][d](GFLOPS),Processing power[a][d](GFLOPS).1,Memory,Memory.1,Memory.2,Memory.3,TBP,Bus interface
0,Model(codename),Release Date& Price,Architecture& Fab,Transistors& Die Size,Config[e],Clock[a] (MHz),Texture (GT/s),Pixel (GP/s),Single,Double,Bus type& width,Size (MiB),Clock (MT/s),Band-width (GB/s),TBP,Bus interface
1,RadeonR5 220[26](Caicos Pro),"December 21, 2013OEM",Terascale 240 nm,370×10667 mm2,80:8:4,625650,5,2.5,200,,DDR364-bit,1024,1066,8.53,18 W,PCIe 2.1 ×16
2,RadeonR5 230[27](Caicos Pro),"April 3, 2014[28]?",Terascale 240 nm,370×10667 mm2,160:8:4,625,5,2.5,200,,DDR364-bit,10242048,1066,8.53,19 W[29],PCIe 2.1 ×16
3,RadeonR5 235[26](Caicos XT),"December 21, 2013OEM",Terascale 240 nm,370×10667 mm2,160:8:4,775,6.2,3.1,248,,DDR364-bit,1024,1800,14.4,35 W[30],PCIe 2.1 ×16
4,RadeonR5 235X[26](Caicos XT),"December 21, 2013OEM",Terascale 240 nm,370×10667 mm2,160:8:4,875,7.0,3.5,280,,DDR364-bit,1024,1800,14.4,18 W,PCIe 2.1 ×16
5,RadeonR5 240[26](Oland),"November 1, 2013[31]OEM",GCN 1st gen28 nm,1040×10690 mm2,384:24:8,730780,14.6,5.84,560.6599,29.2,DDR3GDDR364-bit,10242048,18002000,28.816.0,30 W,PCIe 3.0 ×8
6,RadeonR7 240[32](Oland Pro),"August 8, 2013US $69",GCN 1st gen28 nm,1040×10690 mm2,320:20:8,730780,14.6,5.84,467.2499.2,29.2,DDR3GDDR5128-bit,20484096,18004500,28.872,"30 W, <45 W (4 GB)[33]",PCIe 3.0 ×8
7,RadeonR7 250[32](Oland XT),"August 8, 2013US $89",GCN 1st gen28 nm,1040×10690 mm2,384:24:8,1000(1050),24,8,768806.4,48,DDR3GDDR5128-bit,10242048,18004600,73.6,75 W,PCIe 3.0 ×8
8,RadeonR7 250E[34](Cape Verde Pro),"December 21, 2013US $109",GCN 1st gen28 nm,1500×106123 mm2,512:32:16,800,25.6,12.8,819.2,51.2,GDDR5128-bit,10242048,4500,72,55 W,PCIe 3.0 ×16
9,RadeonR7 250X[32](Cape Verde XT),"February 10, 2014US $99",GCN 1st gen28 nm,1500×106123 mm2,640:40:16,1000,40,16,1280,80,GDDR5128-bit,10242048,4500,72,95 W,PCIe 3.0 ×16
10,RadeonR7 260[32](Bonaire),"December 17, 2013US $109",GCN 2nd gen28 nm,2080×106160 mm2,768:48:16,1000,48,16,1536,96,GDDR5128-bit,1024,6000,96,95 W,PCIe 3.0 ×16
11,RadeonR7 260X[32](Bonaire XTX),"August 8, 2013US $139",GCN 2nd gen28 nm,2080×106160 mm2,896:56:16,1100,61.6,17.6,1971.2,123.2,GDDR5128-bit,10242048,6500,104,115 W,PCIe 3.0 ×16
12,RadeonR7 265[32](Pitcairn Pro),"February 13, 2014US $149",GCN 1st gen28 nm,2800×106212 mm2,1024:64:32,900925,57.6,28.8,1843.2,115.2,GDDR5256-bit,2048,5600,179.2,150 W,PCIe 3.0 ×16
13,RadeonR9 270[35](Pitcairn XT),"November 13, 2013US $179",GCN 1st gen28 nm,2800×106212 mm2,1280:80:32,900925,72,28.8,23042368,144148,GDDR5256-bit,2048,5600,179.2,150 W,PCIe 3.0 ×16
14,RadeonR9 270X)[35](Pitcairn XT),"August 8, 2013US $199",GCN 1st gen28 nm,2800×106212 mm2,1280:80:32,10001050,80,32,25602688,160168,GDDR5256-bit,20484096,5600,179.2,180 W,PCIe 3.0 ×16
15,RadeonR9 280[35](Tahiti Pro),"March 4, 2014US $249",GCN 1st gen28 nm,4313×106352 mm2,1792:112:32,827933,92.6,26.5,29643343.9,741836,GDDR5384-bit,3072,5000,240,250 W,PCIe 3.0 ×16
16,RadeonR9 280X[35](Tahiti XTL)[36],"August 8, 2013US $299",GCN 1st gen28 nm,4313×106352 mm2,2048:128:32,8501000,109–128,27.2–32,3481.64096,870.41024,GDDR5384-bit,3072,6000,288,250 W,PCIe 3.0 ×16
17,RadeonR9 285[35](Tonga Pro),"September 2, 2014US $249",GCN 3rd gen28 nm,5000×106359 mm2 [37],1792:112:32,918,102.8,29.4,3290,206.6[38],GDDR5256-bit,2048,5500,176[f],190 W,PCIe 3.0 ×16
18,RadeonR9 285X(Tonga XT),Unreleased [40],GCN 3rd gen28 nm,5000×106359 mm2 [37],2048:128:32,1002,128.3,32.1,4104,256.5,GDDR5384-bit,3072,5500,264,300 W,PCIe 3.0 ×16
19,RadeonR9 290[35](Hawaii Pro),"November 5, 2013US $399",GCN 2nd gen28 nm,6200×106438 mm2 [41],2560:160:64,up to 947[g],151.52,60.608,4848.6,606.1,GDDR5512-bit,4096,5000,320,250 W[43],PCIe 3.0 ×16
20,RadeonR9 290X[35](Hawaii XT),"October 24, 2013November 6, 2014[44]US $549",GCN 2nd gen28 nm,6200×106438 mm2 [41],2816:176:64,1000[g],176,64,5632,704,GDDR5512-bit,40968192,5000,320,250 W[43],PCIe 3.0 ×16
21,RadeonR9 295X2[35][45](Vesuvius),"April 8, 2014US $1499",GCN 2nd gen28 nm,2× 6200×1062× 438 mm2,2× 2816:176:64,1018,358.33,130.3,11466.75,1433.34,GDDR5512-bit,2× 4096,5000,2× 320,500 W,PCIe 3.0 ×16
22,Model(codename),Release Date& Price,Architecture& Fab,Transistors& Die Size,Config[e],Clock[a] (MHz),Texture (GT/s),Pixel (GP/s),Single,Double,Bus type& width,Size (MiB),Clock (MT/s),Band-width (GB/s),TBP,Bus interface
23,Model(codename),Release Date& Price,Architecture& Fab,Transistors& Die Size,Core,Core,Fillrate[a][b][c],Fillrate[a][b][c],Processing power[a][d](GFLOPS),Processing power[a][d](GFLOPS),Memory,Memory,Memory,Memory,TBP,Bus interface
