,Unnamed: 0,Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
0,AbiWord,"2.6.0,[7] 2.6.5[8]","Windows, Mac OS X, Linux, Unix",,AbiSource,GPL,Yes,,
1,Adobe Buzzword,"beta 3, build 600113[9]",Web application,Standalone,Adobe Systems,Proprietary,Yes,,Limited support
2,Atlantis Word Processor,1.6.3+[10],Windows,Standalone,Rising Sun Solutions,Proprietary,Yes,,
3,Butler Office Pro X,2.2.0[11],Mac OS X,Butler Office Pro X,Butler Software Solutions,Proprietary,Yes,,Full support via email
4,DataViz Word To Go,11.000[12],"Palm OS, Windows Mobile, Symbian (UIQ, S80)",Documents To Go,DataViz,Proprietary,Yes,,
5,EIOffice Word Processor,"2009, 5.0.1272.101[13]","Windows, Linux",EIOffice,Evermore Software,Proprietary,Yes,,Import only[13]
6,Go-oo Writer,3.0.0[14],"Windows, Linux, Unix, Mac OS X",Go-oo,Free software community,"LGPL, CDDL",Yes,,Import onlyGo-oo discontinued in favour of LibreOffice
7,Google Docs,(current)[15],Web application,Google Docs,Google,Proprietary,Yes,,
8,IBM Lotus Symphony,1.3[16],"Windows, Mac OS X, Linux",IBM Lotus Symphony,IBM,Proprietary,Yes,,Import only
9,Ichitaro,2008[17],"Windows, Linux",Standalone,JustSystems,Proprietary,Yes,,
10,Jarte,3.0+[18][19],Windows,Standalone,Carolina Road Software,Proprietary,Yes,,Import only[20][21]
11,Kingsoft Office Writer,2009[22] 6.3.0.1733,Windows,Kingsoft Office,Kingsoft,Proprietary,Yes,,Import only beta support
12,LibreOffice,All versions,"Windows, OS X, Linux, Unix, Android",,The Document Foundation,MPL,Yes,Yes,
13,Microsoft Office OneNote,2007,Windows,Microsoft Office,Microsoft,Proprietary,Yes,,Export only
14,Microsoft Office Publisher,2013,Windows,Microsoft Office,Microsoft,Proprietary,Yes,,
15,Microsoft Office Word,"2013,2011 for Mac","Windows, Mac OS X",Microsoft Office,Microsoft,Proprietary,Yes,Yes,
16,Microsoft Office Mobile Word Mobile,6.1[23],Windows Mobile,Microsoft Office Mobile,Microsoft,Proprietary,Yes,,
17,Microsoft Works Word Processor,9[24],Windows,Microsoft Works,Microsoft,Proprietary,Yes,Yes,
18,NeoOffice Writer,2.2.1[25],Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,Yes,,
19,Nisus Writer Pro,1.2[26],Mac OS X v10.4 or later,Standalone,"Nisus Software, Inc.",Proprietary,Yes,,
20,ONLYOFFICE,5.2[27],Web Application,ONLYOFFICE,Ascensio System SIA,"Proprietary, AGPL",Yes,,
21,OpenOffice Writer,3.0,"Windows, Linux, Unix, Mac OS X",OpenOffice.org,Apache OpenOffice,LGPL,Yes,,Import only
22,OpenXML Writer,1.0[28],Windows,Standalone,OpenXML.biz,Ms-RL,Yes,,
23,Pages,'08[29],Mac OS X,iWork,Apple Inc.,Proprietary,Yes,,
24,StarOffice Writer,9[30],"Windows, Linux, Solaris",StarOffice,Sun Microsystems,Proprietary,Yes,,Import only[31]
25,TextEdit,starting withMac OS X v10.5[32],Mac OS X,Standalone,Apple Inc.,BSD 3-clause,Yes,,"Bundled with Mac OS X, which yields limited support"
26,TextMaker,2010,"Windows, Linux, Windows Mobile, Windows CE, Android",SoftMaker Office,SoftMaker Software GmbH,Proprietary,Yes,,
27,Thinkfree Office Write,[33],"Windows, Mac OS X, Linux",Thinkfree Office,ThinkFree Corp,Proprietary,Yes,,
28,WordPerfect,X4 (2008)[34],Windows,Corel WordPerfect Office X4,Corel,Proprietary,Yes,,Import only
29,Zoho Writer,(current),Web application,Zoho Office Suite,AdventNet Inc.,Proprietary,Yes,,
30,,Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
