,Research Networking Tool,h-index,Citation count,Altmetrics,SNIP and SJR,Journal Impact Factor*,Other,Comment,Unnamed: 8
0,Academic Room,,,,,,,,
1,Activity Insight,Yes,Yes,Yes,Yes,Yes,,,
2,C-IKNOW,,,,,,,,
3,PROFILES by Mentis® (formerly Collaborative Partnership / Profile System),Yes,Yes,Yes,Yes,Yes,,,
4,Community Academic Profiles - CAP,,,,,,,,
5,Converis,Yes,Yes,Yes Can integrate with altmetric data feed,No,Yes,"Category Normalized Citation Impact, Journal Normalized Citation Impact, Percentile in Category, Highly Cited Paper, Hot Paper, International Collaboration, Institutional Collaboration, Industry Collaboration and Open Access",,
6,CurvitaTM Profile Manager,,,,,,,,
7,CUSP - Columbia University Scientific Profiles,,,,,,,,
8,Digital Vita,,,,,,,,
9,Elsevier's Pure (integrated with SciVal),Yes,Yes,Yes Altmetric and PlumX,Yes,No,"Field-weighted Citation Impact, Number of Authors, CiteScore",,
10,Elsevier's SciVal,Yes,Yes,Yes Views data from ScienceDirect and Scopus,Yes,No,"20+ indicators ranging from h, g & m indices, to Publications in Top Journal Percentiles, Field-Weighted Citation Impact, Academic-Corporate Collaboration Impact & Views per Publication",,
11,Epernicus Solutions & Epernicus Network,,,,,,,,
12,ERIM Member Profile System (ERIM MIS),,,,,,,,
13,Esploro,YesPlanned,Yes integrated with external tools,Yes,Yes planned,Yes planned,Multiple research-related indicators to measure research outputs usage and impact,,
14,EUREKA!TM Enhancing Student Research,,,,,,,,
15,Expertise @ Maryland,,,,,,,,
16,Faculty Profile System,,,,,,,,
17,Faculty Research Information Profile (FRIP),,,,,,,,
18,Faculty Scholarly Productivity Index,,,,,,,,
19,GENIUS,,,,,,,,
20,Google Scholar,Yes,,,,,,,
21,HUBzero,,,,,,,,
22,iamResearcher,,,,,,,,
23,iAMscientist,,,,,,,,
24,i2iConnect,,,,,,,,
25,InCites,Yes,Yes,Yes Recorded Future partnership provides customized newsfeed and instition activity from web content,No,Yes,,,
26,INDURE,,,,,,,,
27,LatticeGrid,,,,,,,,
28,Lattes Database,,,,,,,,
29,LinkedIn,No,No,None,,,,,
30,Life Science Network,No,No,"Yes (views counts, recommendations, rating scores calculated from anonymous and non-anonymous contributions)",No,No (but journals can be entered into the database and their IF indicated),,,
31,Loki,,,,,,,,
32,Lyterati,,,,,,,,
33,McCormick Collaboration Visualization Tool,,,,,,,,
34,MizzouLinks,,,,,,,,
35,MyScienceWork,,,,,,,,
36,OSU:pro,,,,,,,,
37,Pivot,,,,,,,,
38,Profiles,,,,,,,,
39,ReachNC,Yes,,,,,,,
40,Research Accelerator,,,,,,,,
41,ResearcherID,Yes,Yes,,,,,,
42,SciENcv,,,,,,,,
43,Symplectic Elements,Yes,Yes,Yes,Yes,Yes,,,
44,VIVO,,,Yes,,,,,
45,Yaffle,,,,,,,,
