,Product,total # of formats,.cbr/.cbz,.chm,.djvu,.epub,.fb2,.html,.mobi,.pdb,.pdf,.rtf,.txt
0,Apabi Reader,3,No,No,No,Yes,No,No,No,No,Yes,No,Yes
1,Blio,2,No,No,No,Yes,No,No,No,No,Yes,No,No
2,Bluefire Reader,2,No,No,No,Yes,No,No,No,No,Yes,No,No
3,DL Reader,2,No,No,No,Yes,No,No,No,No,Yes,No,No
4,eBookMobi,10+,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Ebook Reader,2,No,No,No,Yes,No,No,No,No,Yes,No,No
6,i2Reader,6+,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
7,iBooks,2,No,No,No,Yes,No,No,No,No,Yes,No,No
8,Kindle,2,No,No,No,No,No,No,Yes,No,Yes,No,No
9,Kobo Reading App,2,No,No,No,Yes,No,No,No,No,Yes,No,No
10,KyBook,8,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
11,KyBook 2,16,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
12,MapleRead,2,No,No,No,Yes,No,No,No,No,Yes,No,No
13,Marvin,2,Yes,No,No,Yes,No,No,No,No,No,No,No
14,MegaReader,1,No,No,No,Yes,No,No,No,No,No,No,No
15,PocketBook reader,8+,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
16,ShuBook,5+,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
17,Stanza,5+,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No
18,uBooks XL,5,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
19,iBouquiniste,5,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
20,Product,total # of formats,.cbr/.cbz,.chm,.djvu,.epub,.fb2,.html,.mobi,.pdb,.pdf,.rtf,.txt
