,Format,Languages,Unnamed: 2
0,string[startpos:endpos],ALGOL 68 (changes base index),
1,string (startpos .. endpos),Ada (changes base index),
2,"Mid(string, startpos, numChars)",VB,
3,"mid(string, startpos, numChars)",FreeBASIC,
4,string[startpos+(⍳numChars)-~⎕IO],APL,
5,"MID$(string, startpos, numChars)",BASIC,
6,"substr(string, startpos, numChars)","AWK (changes string), Perl 5,[27][28] PHP[27][28]",
7,"substr(string, startpos, numChars) string.substr(startpos, numChars)",Raku[29][30],
8,"substr(string, startpos «,numChars, padChar»)",Rexx,
9,string[startpos:endpos],"Cobra, Python,[27][31] Go",
10,"string[startpos, numChars]",Pick Basic,
11,"string[startpos, numChars] string[startpos .. endpos-1] string[startpos ... endpos]",Ruby[27][31],
12,string[startpos .. endpos] string[startpos len numChars],Seed7,
13,"string.slice(startpos«, endpos»)",JavaScript[27][31],
14,"string.substr(startpos«, numChars»)","C++ (STL), JavaScript",
15,"string.Substring(startpos, numChars)","VB .NET, C#, Windows PowerShell, F#",
16,"string.substring(startpos«, endpos»)","Java, JavaScript",
17,"copy(string, startpos, numChars)",Object Pascal (Delphi),
18,(substring string startpos endpos),Scheme,
19,(subseq string startpos endpos),Common Lisp,
20,(subseq string startpos endpos),ISLISP,
21,String.sub string startpos numChars,OCaml,
22,"substring (string, startpos, numChars)",Standard ML,
23,"string:sub_string(string, startpos, endpos)string:substr(string, startpos, numChars)",Erlang,
24,"strncpy(result, string + startpos, numChars);",C,
25,string[startpos .. endpos+1],D,
26,take numChars $ drop startpos string,Haskell,
27,"[string substringWithRange:NSMakeRange(startpos, numChars)]",Objective-C (NSString * only),
28,string.[startpos..endpos],F#,
29,"string.sub(string, startpos, endpos) (string):sub(startpos, endpos)",Lua[27][31],
30,string copyFrom: startpos to: endpos,Smalltalk,
31,string(startpos:endpos),Fortran,
32,SUBSTRING(string FROM startpos «FOR numChars»),SQL,
33,"StringTake[string, {startpos, endpos}]",Mathematica[27][31],
34,string[startpos .. endpos],Ya,string (startpos:numChars)
35,string range string startpos endpos,Tcl,
