,Country,Spaceplane,First flight mission,Year,Program status
0,Japan,HOPE-X,HYFLEX,1996,Cancelled
1,China,Various,Shenlong,2007,Under development
2,India,Indian reusable launch system,Hypersonic Flight Experiment,2016,Under development
3,India,AVATAR,Hypersonic Flight Experiment,2016,Under development
