,System,Office Integration,Multi Lingual,Languages Supported,Web-Based,Time Tracking,Attaching Emails to Business Objects,Desktop Environment,Global Search,LDAP Support
0,Act! CRM,Yes,Yes,"en, de, fr",Yes,,,Yes,Yes,No
1,Adempiere,?,?,?,?,?,?,?,?,?
2,Base CRM,Yes,Yes,"de, en, es, fr, nl, pl, pt",Yes,Yes,Yes,No,Yes,No
3,CiviCRM,?,Yes,Yes Over 40,"Yes Integrated with Drupal, Wordpress, Joomla! or Backdrop",?,Yes (when email is sent from software),?,Yes,?
4,Dolibarr,A module google is available for customer and agenda sync,Yes,Over 30,Yes,Yes,Yes (when email is sent from software),?,Yes,Yes
5,Microsoft Dynamics CRM,Yes,Yes,Yes over 40,Yes,Yes,Yes,No,Yes,Yes with ADFS
6,Epesi CRM,Any type of file attachments,Yes,"ar, bg, cs, da, de, el, en, es, et, fa, fi, fr, he, hr, hu, id, in, it, jp, ko, lt, nl, no, pl, pt, ro, ru, sk, sl, sr, sv, th, tr, vi, zh",Yes,Yes,Yes,?,?,?
7,GNU Enterprise,Yes,Yes,Yes,Yes,Yes,?,?,?,?
8,Group-Office,Yes,Yes,Over 20 languages,Yes,Yes,?,?,?,?
9,HubSpot CRM Free,"Gmail, G Suite, Outlook, Office 365 for Windows[6]",Yes,"en, fr, jp, de, pt, es[7]",Yes[6],No,Yes[8],Yes[9],Yes,No
10,Neolane,?,?,?,?,?,?,?,?,?
11,Nutshell CRM,"Google Apps, Microsoft Exchange",No,(in English),Yes,No,Yes,?,Yes,?
12,Pega CRM[4],?,?,?,?,?,?,?,Maybe[10],Yes[11]
13,Pipedrive,Yes,Yes,"de, en, es, et, fi, fr, it, no, nl, pl, pt, ru, tr, ko, ja",Yes,Yes,Yes,Yes,Yes,Yes
14,Pivotal CRM,Yes,Yes,Yes,Web/Windows,?,Yes,?,Yes,Yes
15,Really Simple Systems,Yes,No,en,Yes,No,?,?,?,?
16,SageCRM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
17,Salesbox CRM,Yes,Yes,"de, en, es, fr, nl, pt, se, no, fi, tr, ro, ru, jp, ch, ko, hu",Yes,Yes,Yes,Yes,Yes,No
18,Salesforce.com[12],Yes,Yes,"en, fi, fr, de, es, it, ja, ko, pt-br, ru, sv, th, zh-cn, zh-tw, da, nl-nl",Yes,No,No,No,Yes,No
19,Siebel,Yes,Yes,Yes,Yes,No,Yes,?,?,Yes
20,SAP CRM,Yes,Yes,Yes,Yes,No,Yes,Yes|,Yes,Yes
21,SAP Cloud for Customer,Yes,Yes,Yes,Yes,No,Yes,Yes|,Yes,Yes
22,Streak,via Google Docs,Yes,"de, en, es, fr, it, nl, pl, pt, pt-br, ru, zh-cn",Yes,No,?,?,?,?
23,SugarCRM,"Yes - Outlook, Excel, Word Plugins[1]",Yes,"sq_AL, ar_SA, bg_BG, ca_ES, zh_CN, hr_HR, cs_CZ, da_DK, nl_NL, en_UK, en_us, et_EE, fi_FI, fr_FR, de_DE, el_EL, he_IL, hu_HU, it_it, ja_JP, ko_KR, lv_LV, lt_LT, nb_NO, pl_PL, pt_PT, pt_BR, ro_RO, ru_RU, sr_RS, sk_SK, es_ES, es_LA, sv_SE, th_TH, zh_TW, tr_TR, uk_UA",Yes,Yes,Yes,?,Yes,Yes
24,SuiteCRM,Via Plugin,Yes,20 languages,Yes,Yes,Yes,No,Yes,Yes
25,SuperOfficeCRM,Yes,Yes,"cn, de, dk, en, es, fi, fr, it, jp, nl, no, ru, se, zh",Yes,Yes,?,?,?,?
26,TeamLab,Yes,Yes,"en, de, fr, es, it, ru, lat",Yes,Yes,?,?,?,?
27,Tryton,?,Yes,"bg, ca, cs, de, en, es-ar, es-co, es-es, fr, nl, ru, sl",Yes,Yes,Yes,Yes,Yes,Yes
28,WORKetc,Outlook Addon and Google Docs,Yes,"de, en, es, fr, it, nl",Yes,Yes,Yes,?,Yes,?
29,Zoho CRM,Outlook & MS Office,Yes,"en, fi, fr, de, es, it, ja, ko, pt-br, ru, sv, th, zh-cn, zh-tw, da, nl-nl, pl",Yes,Yes,Yes,?,Yes,Yes
