,Awards,Awards.1
0,Publication,Award
1,Amstrad Action,2nd-best rated game in the history of the magazine[39]
2,Amiga Power,2nd-best Amiga game of all time (1991)[47]
3,Mega,23rd-best game of all time (1994)[48]
4,CGW,12th-best game of all time (1996)[49]
5,Edge,82nd-top game of all time (2007)[50]
6,Your Sinclair,"20th-top ZX Spectrum game of all time (1993, by readers)[51]"
7,Wirtualna Polska,The best Amiga game of all time (2011)[52]
8,Next Generation,8th-top game of all time (1996)[53]
