,Desktop publishing software,PDF,EPS,SVG,TeX/LaTeX,RTF,HTML,Word .doc,OOXML .docx,Other
0,CorelDRAW,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"PSD, AI, SWF, WPD"
1,Fatpaint,No,No,No,No,No,No,No,No,"JPG, PNG"
2,Flare,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"XLS, Adobe Framemaker, Adobe RoboHelp, Microsoft Compiled HTML Help, DITA"
3,FrameMaker,Yes,Yes,Yes,No,Yes,No,Yes,No,WPD
4,InDesign,Yes,Yes,No,No,Yes,No,Yes,Yes,"PSD, AI, SWF, WPD, XLS"
5,InPage,No,Yes,No,No,No,No,No,No,No
6,iStudio Publisher,Yes,No,No,No,No,No,No,No,"PSD, AI"
7,LyX,No,No,No,Yes,No,Yes,No,No,No
8,Microsoft Publisher,No,No,No,No,Yes,Yes,Yes,Yes,No
9,OpenOffice.org,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"PSD, WPD, XLS"
10,PageMaker*,Yes,Yes,No,No,Yes,No,Yes,No,No
11,PagePlus,Yes,Yes,No,No,Yes,No,Yes,Yes,No
12,Pages,No,No,No,No,Yes,No,Yes,Yes,No
13,QuarkXPress,Yes,Yes,No,No,Yes,Yes,Yes,No,"PSD, AI, SWF, XLS, JPG, PNG PDF"
14,Scribus,Yes,Yes,Yes,Yes,No,Yes,Yes,No,List
15,The Print Shop,No,No,No,No,No,No,No,No,No
16,Ventura*,Yes,Yes,No,No,Yes,No,Yes,No,"PSD, AI, WPD"
17,Desktop publishing software,PDF,EPS,SVG,TeX/LaTeX,RTF,HTML,Word .doc,OOXML .docx,Other
