,Name,First public release date,Creator,Owner or maintainer as of 2016,License
0,86-DOS 0.42,1981-02-25,Seattle Computer Products,Support ended,Proprietary
1,86-DOS 1.00,1981-04-28,Seattle Computer Products,Support ended,Proprietary
2,PC DOS 1.0,1981-08-12,Microsoft (for IBM),Support ended,Proprietary
3,PC DOS 1.1,1982-05-??,Microsoft (for IBM),Support ended,Proprietary
4,PC DOS 2.0,1983-03-??,Microsoft (for IBM),Support ended,Proprietary
5,PC DOS 2.1,1983-10-??,Microsoft (for IBM),Support ended,Proprietary
6,PC DOS 3.0,1984-08-??,Microsoft (for IBM),Support ended,Proprietary
7,PC DOS 3.1,1985,Microsoft (for IBM),Support ended,Proprietary
8,PC DOS 3.2,1986,Microsoft (for IBM),Support ended,Proprietary
9,PC DOS 3.3,1987,Microsoft (for IBM),Support ended,Proprietary
10,IBM DOS 4.0(called PC DOS 4.0),1988,Microsoft (for IBM),Support ended,Proprietary
11,IBM DOS 5.0(called PC DOS 5.0),1991,Microsoft (for IBM),Support ended,Proprietary
12,"PC DOS 6.1, PC DOS 6.3",1993,Microsoft (for IBM),Support ended,Proprietary
13,PC DOS 7.0 (revision 0),1995,Microsoft (for IBM),Support ended,Proprietary
14,PC DOS 2000(PC DOS 7.0 revision 1),1998,Microsoft (for IBM),Support ended,Proprietary
15,PC DOS 7.10,2003,Microsoft (for IBM),Support ended by IBM,Proprietary
16,"MS-DOS 1.25[1] (first version named ""MS-DOS"")",1982,Microsoft,Support ended,"Free, MIT License"
17,Z-DOS 1.25,1982-05-??,OEM Zenith Data Systems,Support ended,Proprietary
18,MS-DOS 2.0,1983-03-??,Microsoft,Support ended,"Free, MIT License"
19,MS-DOS 2.11,1983-12-??,Microsoft,Support ended,Proprietary
20,MS-DOS 3.0,1984,Microsoft,Support ended,Proprietary
21,MS-DOS 3.1,1984,Microsoft,Support ended,Proprietary
22,MS-DOS 3.2,1986,Microsoft,Support ended,Proprietary
23,MS-DOS 3.3,1987,Microsoft,Support ended,Proprietary
24,MS-DOS 4.0,1988,Microsoft,Support ended,Proprietary
25,MS-DOS 5.0,1991,Microsoft,Support ended,Proprietary
26,MS-DOS 6.0,1993,Microsoft,Support ended,Proprietary
27,MS-DOS 6.20,1993,Microsoft,Support ended,Proprietary
28,MS-DOS 6.21,1994,Microsoft,Support ended,Proprietary
29,MS-DOS 6.22,1994,Microsoft,Support ended,Proprietary
30,MS-DOS 7.0 (Windows 95A),1995,Microsoft,Support ended,Proprietary
31,"MS-DOS 7.10 (Windows 95 OSRs 2 and 2.5, 98, 98 SE)",1996,Microsoft,Support ended,Proprietary
32,MS-DOS 8.0 (Windows ME and later)[2],2000,Microsoft,Support ended by Microsoft[3],Proprietary
33,"DOS Plus 1.1, 1.2/1.2a",1985,Digital Research,Support ended,Proprietary
34,DOS Plus 2.1,1986,Digital Research,Support ended,Proprietary
35,DR DOS 3.31-3.35,1988,Digital Research,Support ended,Proprietary
36,DR DOS 3.40-3.41,1989,Digital Research,Support ended,Proprietary
37,DR DOS 5.0,1990,Digital Research,Support ended,Proprietary
38,DR DOS 6.0,1991,Digital Research,Support ended,Proprietary
39,Novell DOS 7,1993,Novell,Support ended,Proprietary
40,Caldera OpenDOS 7.01,1997,"Caldera, Inc.;Caldera UK, Ltd.","Support ended officially;a derivative, Enhanced DR-DOS, is maintained by Udo Kuhnt","Partial, free non-commercial use"
41,Caldera DR-OpenDOS 7.02,1997,"Caldera, Inc.;Caldera UK, Ltd.",Support ended,"Partial, free non-commercial use"
42,Caldera DR-DOS 7.02,1998,"Caldera, Inc.;Caldera UK, Ltd.",Support ended,Proprietary
43,Caldera DR-DOS 7.03,"1999, 1998 prereleased","Caldera Thin Clients, Inc.;Caldera UK, Ltd;Lineo, Inc.","DRDOS, Inc.",Proprietary
44,DR-DOS 8.0,2004,DeviceLogics,Support ended,Proprietary
45,DR-DOS 8.1[4],2005,"DRDOS, Inc.",Support ended,Proprietary
46,FreeDOS 1.0,2006-09-03,"Jim Hall, et al.",The FreeDOS Project,"Free, GPL"
47,FreeDOS 1.1,2012-01-02,"Jim Hall, et al.",The FreeDOS Project,"Free, GPL"
48,FreeDOS 1.2,2016-12-25,"Jim Hall, et al.",The FreeDOS Project,"Free, GPL"
49,PTS-DOS 6.4,1993,PhysTechSoft[5],PhysTechSoft,Proprietary
50,PTS-DOS 6.5,?,PhysTechSoft[5],PhysTechSoft,Proprietary
51,PTS-DOS 6.6,?,PhysTechSoft[5],PhysTechSoft,Proprietary
52,PTS-DOS 2000 (6.7),?,PhysTechSoft[5],PhysTechSoft,Proprietary
53,PTS-DOS 32 (7.0),?,PhysTechSoft[5],PhysTechSoft,Proprietary
54,PTS-DOS 6.51,ca. 1995,Paragon Technology Systems,Paragon Technology Systems,Proprietary
55,Paragon DOS 2000 Pro,?,Paragon Technology Systems,Paragon Technology Systems,Proprietary
56,ROM-DOS 6.22[6],?,Datalight,Datalight,Proprietary
57,ROM-DOS 7.1[6],?,Datalight,Datalight,Proprietary
58,Embedded DOS,?,General Software,General Software,Proprietary
59,DIP DOS 2.11,1989,"DIP Research, Atari Corporation",Support ended,Proprietary
60,RxDOS,1994,Michael Podanoffsky,?,?
61,SISNE plus,?,"Itautec, Scopus Tecnologia",Support ended,Proprietary
