,ADC client,FOSS,Software license,Active,Last Update
0,AirDC++,Yes,GNU GPL,Yes,2019.0
1,AirDC++ Web Client,Yes,"GNU GPL, MIT",Yes,2019.0
2,ApexDC++,Yes,GNU GPL,Yes,2017.0
3,DC++,Yes,GNU GPL,Yes,2018.0
4,jucy,Yes,BSD,Yes,2014.0
5,LinuxDC++,Yes,GNU GPL,No,2011.0
6,EiskaltDC++,Yes,GNU GPL,Yes,2015.0
7,FlylinkDC++,Yes,GNU GPL,Yes,2017.0
8,RSX++,Yes,GNU GPL,No,2011.0
9,TkDC++,Yes,GNU GPL,No,2010.0
10,StrongDC++,Yes,GNU GPL,No,2010.0
11,RevConnect,Yes,GNU GPL,No,2007.0
12,ncdc,Yes,MIT,Yes,2019.0
13,ADC client,FOSS,Software license,Active,
