,Model,Launch,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Hardware T&L,Core config1,Fillrate,Fillrate.1,Memory,Memory.1,Memory.2,Memory.3,API compliance (version),API compliance (version).1,Notes
0,Model,Launch,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Hardware T&L,Core config1,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,Notes
1,Rage LT (Rage II),Nov 1996,500,PCI,60,66,No,0:1:1:1,0.06,0.06,4,0.53,"EDO, SDR, SGR",64,5,,
2,Rage LT Pro (Rage Pro),Nov 1997,350,"AGP, PCI",75,100,No,0:1:1:1,0.075,0.075,8,0.80,"EDO, SDR, SGR",64,6,1.1,Motion Compensation
3,Rage Mobility M/P (Rage 128),Nov 1998,250,"AGP, PCI",90,Unknown,No,0:2:2:2,0.18,0.18,8,Unknown,"SDR, SGR",64,Unknown,Unknown,"M had 4 MB of integrated SDRAM, P had none. IDCT, Motion Compensation."
4,Rage Mobility M1 (Rage 128),Feb 1999,250,"AGP, PCI",90,90,No,0:2:2:2,0.18,0.18,8,0.72,SDR,64,6,1.2,"M1 had 8 MB of integrated SDRAM, P had none. IDCT, Motion Compensation."
5,Rage 128 GL,Aug 1998,250,"AGP, PCI",103,103,No,0:2:2:2,0.206,0.206,32,1.65,SDR,128,6,1.2,
6,Rage Mobility 128 (Rage 128 Pro),Oct 1999,250,"AGP, PCI",105,105,No,0:2:2:2,0.21,0.21,16,2.28,SDR,128,6,1.2,"IDCT, Motion Compensation"
7,Rage Mobility M3 (AGP 4x) (Rage 128 Pro),Oct 1999,250,"AGP, PCI",105,105,No,0:2:2:2,0.21,0.21,16,2.28,SDR,128,6,1.2,"M3 had 8 MB of integrated SDRAM, IDCT, Motion Compensation."
8,Rage Mobility M4 (AGP 4x) (Rage 128 Pro),Oct 1999,250,"AGP, PCI",105,105,No,0:2:2:2,0.21,0.21,32,2.28,SDR,128,6,1.2,"M4 had 16 MB of integrated SDRAM, IDCT, Motion Compensation."
