,Parser,License,Implementation language(s),Latest date*,HTML parsing[1],HTML5-compliant parsing,Clean HTML**,Update HTML***
0,Lambda Soup,BSD-2-Clause,OCaml,2016-12-10[2],Yes,Yes,?,?
1,html.parser,Python S. F. L.,Python,2016-06-27[3],Yes,?,No,No
2,Html Agility Pack,MIT License,C#,2019-07-07[4],Yes,?,No,?
3,HTML Monkey,Microsoft Public License,C#,2018-12-14,Yes,?,?,?
4,Beautiful Soup,Python S. F. L.,Python,2019-01-07[5],Yes,Partial[6],Yes,Yes
5,Gumbo,Apache License 2.0,C,2015-05-01,Yes,Yes,?,?
6,html5ever,Apache License 2.0,Rust,2016-02-23,Yes,Yes,?,?
7,html5lib,MIT License,"Python (and PHP, six years ago)",2016-07-15[7],Yes,Yes,Yes,No
8,HTML::Parser,Perl license,Perl,2013-03-28,Yes,No[8],?,?
9,WebGear,GPL3,Perl,2017-03-10,Yes,Yes,?,?
10,htmlPurifier,GNU Lesser GPL,PHP,2019-07-14[9],No,No,Yes,Yes
11,HTML Tidy,W3C license,ANSI C,2017-03-01[10],Yes[11],Yes,Yes[11],Yes
12,HtmlUnit,Apache License 2.0,Java,2019-08-24[12],Yes,?,No,No
13,HtmlCleaner,BSD License[13],Java,2015-08-24,No,No,Yes,?
14,Hubbub,MIT License,C,2016-02-16,Yes,Yes[14],?,?
15,Jaunt API,Jaunt Beta License,Java,2013-08-01,Yes,?,Yes,No
16,Jericho HTML Parser,Eclipse Public License,Java,2015-10-24[15],Yes,?,?,?
17,jsdom,MIT license,JavaScript,2018-08-19,Yes,Yes,?,?
18,jsoup,MIT license,Java,2019-05-12[16],Yes,Yes[17],Yes,Yes
19,JTidy,JTidy License,Java,2012-10-09[18],No,?,Yes,?
20,libxml2 HTMLparser,MIT License,C,2017-11-02[19],Yes,No,?,?
21,NekoHTML,Apache License 2.0,Java,2014-06-02[20],Yes,?,?,?
22,TagSoup,Apache License 2.0,Java,2011-07-07,No,?,?,?
23,Validator.nu HTML Parser,MIT License,Java,2012-06-05,Yes,Yes,?,?
24,PHP Simple HTML DOM Parser,MIT License,PHP,2014-08-28,Yes,?,No,No
25,The PHP DOMDocument-class,PHP License,PHP,2014-10-04,Yes,?,No,No
26,Nokogiri,MIT License,Ruby,2016-10-03[21],Yes,?,No,No
27,AVHTML,AGPL,C++,2015-08-27[22],Yes,?,No,Yes
28,BrilliantHTML5Parser,Apache License 2.0,Swift 3,2016-11-10,Yes,?,No,No
29,MyHTML,LGPL,C,2018-09-06,Yes,Yes,No,No
30,Aspose.HTML,Proprietary,C#,2018-06-06,Yes,Yes,?,?
31,Lexbor (HTML module),Apache License 2.0,C,2019-11-18,Yes,Yes,No,No
32,tooska,LGPL,C++,2019-06-29,Yes,?,?,?
33,Parser,License,Implementation language(s),Latest date*,HTML Parsing,HTML5-compliant Parsing,Clean HTML**,Update HTML***
