,Unnamed: 0,Windows,macOS,Linux,BSD,Unix,DOS,Android,SaaS
0,ADMB,Yes,Yes,Yes,No,No,No,No,No
1,Analytica,Yes,No,No,No,No,No,No,No
2,Ch,Yes,Yes,Yes,Yes,Yes,No,No,No
3,Dyalog APL,Yes,Yes,Yes,No,Yes,No[Note 4],No,No
4,DADiSP,Yes,No,No,No,Yes,No,No,No
5,Euler Math Toolbox,Yes,No,Yes,No,No,No,No,No
6,FlexPro,Yes,No,No,No,No,No,No,No
7,FreeMat,Yes,Yes,Yes,Yes,Yes,No,No,No
8,GAUSS,Yes,Yes,Yes,No,Yes,No,No,No
9,GNU Data Language,Yes,Yes,Yes,Yes,Yes,No,No,No
10,GNU MCSim,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,GNU Octave,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,IGOR Pro,Yes,Yes,No,No,No,No,No,No
13,Julia,Yes,Yes,Yes,Yes,No,No,No,Yes
14,LabVIEW,Yes,Yes,Yes,No,Yes,No,No,No
15,Maple,Yes,Yes,Yes,No,Yes,No,No,No
16,Mathematica,Yes,Yes,Yes,Yes,Yes,No,No,Yes
17,MATLAB,Yes,Yes,Yes,Yes,Yes,No,No,No
18,MLAB,Yes,Yes,Yes,No,No,Yes,No,No
19,Origin,Yes,No,No,No,No,No,No,No
20,Perl Data Language,Yes,Yes,Yes,Yes,Yes,Yes,No,No
21,R,Yes,Yes,Yes,Yes,Yes,No,No,No
22,SageMath,Yes,Yes,Yes,No,Yes,No,No,Yes
23,SAS,Yes,No,Yes,No,Yes,No,No,No
24,SequenceL,Yes,Yes,Yes,No,No,No,No,No
25,S-Lang,Yes,Yes,Yes,Yes,Yes,Yes,No,No
26,Scilab,Yes,Yes,Yes,Yes,Yes,Yes,No,No
27,Sysquake,Yes,Yes,Yes,No,No,No,No,No
28,TK Solver,Yes,No,No,No,No,No,No,No
29,The Unscrambler,Yes,No,No,No,No,No,No,No
30,VisSim,Yes,Yes,Yes,No,Yes,No,No,No
