,Software,Faceted classification,Restricted facets,Mandatory facets,Predefined tags,Related/synonym tags,Notes
0,Connectbeam,No,No,No,No,No,none
1,Dogear,No,No,No,No,No,none
2,Jumper 2.0,Yes,Yes,Yes,Yes,No,none
3,Knowledge Plaza,Yes,Yes,Yes,Yes,Yes,none
4,Scuttle,No,No,No,No,No,none
