,Model(Codename),Launch,Architecture(Fab),TransistorsDie Size,Core,Core.1,Fillrate[a][b][c],Fillrate[a][b][c].1,Processing power[a][d](GFLOPS),Processing power[a][d](GFLOPS).1,Memory[e],Memory[e].1,Memory[e].2,Memory[e].3,TDP (W),Bus interface
0,Model(Codename),Launch,Architecture(Fab),TransistorsDie Size,Config[f],Clock[a] (MHz),Texture (GT/s),Pixel (GP/s),Single,Double,Bus type &width (bit),Size (MiB),Clock (MHz),Band-width (GB/s),IdleMax,Bus interface
1,RadeonHD 8350(Cedar),"January 8, 2013",TeraScale 2(40 nm),292×10659 mm2,80:8:4,400–650,3.25.2,1.62.6,104,,DDR2DDR364-bit,256512,400800,6.412.8,6.419.1,PCIe 2.1 ×16
2,RadeonHD 8450(Caicos),"January 8, 2013",TeraScale 2(40 nm),370×10667 mm2,160:8:4,625,5.0,2.5,200,,DDR364-bit,512,533,8.53,918,PCIe 2.1 ×16
3,RadeonHD 8470(Caicos),"January 8, 2013",TeraScale 2(40 nm),370×10667 mm2,160:8:4,750,6.0,3.0,240,,GDDR564-bit,1024,800,25.6,935,PCIe 2.1 ×16
4,RadeonHD 8490(Caicos),"July 23, 2013",TeraScale 2(40 nm),370×10667 mm2,160:8:4,875,7.0,3.5,280,,GDDR564-bit,1024,900,28.8,935,PCIe 2.1 ×16
5,RadeonHD 8570(Oland),"January 8, 2013",GCN 1st gen(28 nm),950×10677 mm2,384:24:8,730,19.2,6.4,560,35,DDR3GDDR5128-bit,2048,9001150,28.872,1266,PCIe 3.0 ×8
6,RadeonHD 8670(Oland),"January 8, 2013",GCN 1st gen(28 nm),950×10677 mm2,384:24:8,1000,24,8,768,48,GDDR5128-bit,2048,1150,72,1686,PCIe 3.0 ×8
7,RadeonHD 8730(Cape Verde LE),"September 5, 2013",GCN 1st gen(28 nm),1500×106123 mm2,384:24:8,800,19.2,6.4,614.4,44.8,GDDR5128-bit,1024,1125,72,1047,PCIe 3.0 ×16
8,RadeonHD 8760(Cape Verde XT),"January 8, 2013",GCN 1st gen(28 nm),1500×106123 mm2,640:40:16,1000,40,16,1280,80,GDDR5128-bit,2048,1125,72,1680,PCIe 3.0 ×16
9,RadeonHD 8770(Bonaire XT),"September 2, 2013",GCN 2nd gen(28 nm),2080×106160 mm2,896:56:16,1000,56.0,16.0,1792,128,GDDR5128-bit,2048,1500,96,1085,PCIe 3.0 ×16
10,RadeonHD 8870(Pitcairn XT)[25],"January 8, 2013",GCN 1st gen(28 nm),2800×106212 mm2,1280:80:32,1000,80,32,2560,160,GDDR5256-bit,2048,1200,153.6,15150,PCIe 3.0 ×16
11,RadeonHD 8950(Tahiti Pro),"January 8, 2013",GCN 1st gen(28 nm),4313×106352 mm2,1792:112:32,850925,95.2103.6,27.229.6,3046.43315.2,761.6828.8,GDDR5384-bit,3072,1250,240,15225,PCIe 3.0 ×16
12,RadeonHD 8970(Tahiti XT2),"January 8, 2013",GCN 1st gen(28 nm),4313×106352 mm2,2048:128:32,10001050,128.0134.4,3233.6,40964301,10241075,GDDR5384-bit,3072,1500,288,15250,PCIe 3.0 ×16
13,RadeonHD 8990(Malta),"April 24, 2013",GCN 1st gen(28 nm),2× 4313×1062× 352 mm2,2× 2048:128:32,9501000,2× 128,2× 32,77828192,19462048,GDDR5384-bit,2× 3072,1500,2× 288,15375,PCIe 3.0 ×16
14,Model(Codename),Launch,Architecture(Fab),TransistorsDie Size,Config[f],Clock[a] (MHz),Texture (GT/s),Pixel (GP/s),Single,Double,Bus type &width (bit),Size (MiB),Clock (MHz),Band-width (GB/s),IdleMax,Bus interface
15,Model(Codename),Launch,Architecture(Fab),TransistorsDie Size,Core,Core,Fillrate[a][b][c],Fillrate[a][b][c],Processing power[a][d](GFLOPS),Processing power[a][d](GFLOPS),Memory[e],Memory[e],Memory[e],Memory[e],TDP (W),Bus interface
