,Name,Hidden containers,Pre-boot authentication,Single sign-on,Custom authentication,Multiple keys,Passphrase strengthening,Hardware acceleration,TPM,Filesystems,Two-factor authentication
0,Aloaha Secure Stick,Yes,No,,Yes,Yes,No,No,No,"NTFS, FAT32",Yes
1,ArchiCrypt Live,Yes[61],No,,No,Yes[61][62],No,No,No,?,Yes[61][63]
2,BestCrypt,Yes,Yes,?,No,Yes[64],Yes,Yes,Yes,Any supported by OS,Yes[65]
3,BitArmor DataControl,No,Yes,?,No,Yes,Yes,No,No,"NTFS, FAT32 on non-system volumes",No
4,BitLocker,No,Yes[66],No,Yes[67],Yes[68],Yes[69],Yes,Yes[68],Chiefly NTFS [Note 1],Yes [Note 2]
5,Bloombase Keyparc,No,No,,Yes,Yes,Yes,Yes,No,?,?
6,CGD,No,No,,Yes[70],Yes[71],Yes[70],No,No,Any supported by OS,Yes[70]
7,CenterTools DriveLock,No,Yes,Yes,No,No,Yes,No,No,Any supported by OS,Yes
8,Check Point Full Disk Encryption,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"NTFS, FAT32",Yes
9,CipherShed,"Yes(limited to one per""outer"" container)",only on Windows[72],?,No,yes with multiple keyfiles[73][74],Yes,Yes,No[75],"Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged[76]",Yes
10,CryFS,No,No,,No,No,Yes[77],No,No,Any supported by OS,No
11,CrossCrypt,No,No,,No,No,No,No,No,?,No
12,CryptArchiver,No,No,,No,No,?,No,No,?,?
13,Cryptic Disk,Yes,No,No,No,Yes,Yes,Yes,No,Any supported by OS,Yes
14,Cryhod,No,Yes,Yes,No,Yes,Yes,Yes,No,Any supported by OS,Yes
15,Cryptoloop,No,Yes[78],?,Yes,No,No,Yes[citation needed],No,Any supported by OS,?
16,Cryptomator,No,No,,No,No,Yes,Yes,No,Any supported by OS,No
17,CryptoPro Secure Disk Enterprise,Yes with add-on Secure Device,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Any supported by OS,Yes
18,CryptoPro Secure Disk for BitLocker,Yes with add-on Secure Device,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Any supported by OS,Yes
19,Cryptsetup / Dmsetup,No,Yes[78],?,Yes,No,No,Yes,No,Any supported by OS,Yes
20,DiskCryptor,No,Yes,?,No,No,No,Yes[79],No,Only Windows MBR volumes; no UEFI GPT drives,Yes[79]
21,DISK Protect,No,Yes[80],Yes,No,Yes[80],No,Yes,Yes,"NTFS,FAT32",Yes
22,Dm-crypt / LUKS,No,Yes[78],?,Yes,Yes,Yes,Yes,Partial[81] [Note 3],Any supported by OS,Yes
23,DriveCrypt,Yes[82],Yes,Yes,Yes,Yes,Yes,Yes,No,Any supported by OS,Yes
24,DriveSentry GoAnywhere 2,No,No,,Yes,No,Yes,No,?,Any supported by OS,Yes
25,E4M,No,No,,No,No,?,No,No,?,No
26,e-Capsule Private Safe,Yes[83],No,,No,Yes[83],No,Yes,No,?,?
27,eCryptfs,No,No,,Yes,Yes,Yes,Yes,Yes,Yes[84],Yes
28,EgoSecure HDD Encryption,No,Yes,Yes,Yes,Yes,Yes,Yes[85],Yes,"NTFS, FAT32",Yes
29,FileVault,No,No,,No,Two passwords[86],Yes[86],?,No,"HFS+, possibly others",No
30,FileVault 2,No,Yes,Yes,No,Yes,Yes,Yes[87],No,"HFS+, possibly others",No
31,FREE CompuSec,No,Yes,?,No,No,No,No,No,Any supported by OS,No
32,FreeOTFE,Yes,No,,Yes[88],Yes[89],Yes,Yes,No,Any supported by OS,Yes
33,GBDE,No,No[90],,Yes,Yes[91],No[91],No[90],No,Any supported by OS,Yes
34,GELI,No,Yes[90],?,Yes,Yes[92],Yes[92],Yes[90],No,Any supported by OS,Yes
35,Loop-AES,No,Yes[93],?,Yes[93],Yes[93],Yes[93],Yes[93],No,Any supported by OS,Yes[94]
36,McAfee Drive Encryption (SafeBoot),Yes,Yes,Yes,Yes,Yes,Yes,Yes[85][95],Yes,Any supported by OS,Yes
37,n-Crypt Pro,No,No,,No,No,N/A[96],No,No,?,?
38,PGPDisk,No,Yes[97],Yes,?,Yes,Yes[98],?,Yes,?,Yes
39,Private Disk,No,No,,No,Yes,Yes,No,No,Any supported by OS,Yes
40,ProxyCrypt,Yes,No,No,No,No,Yes,Yes,No,Any supported by OS,Yes
41,R-Crypto,?,No,,?,?,?,?,?,Any supported by OS,?
42,SafeGuard Easy,No,Yes,?,No,Yes,Yes,No,Yes[99],Any supported by OS,Yes
43,SafeGuard Enterprise,No,Yes,Yes,No,Yes,Yes,No,Yes[99],Any supported by OS,Yes
44,SafeGuard PrivateDisk,No,No,,No,Yes,Yes,No,Yes[100],Any supported by OS,Yes
45,SafeHouse Professional,No,No,,Yes,Yes,Yes,No,No,Any supported by OS,Yes
46,Scramdisk,Yes,No,,No,No,No,No,No,?,Last update to web site 2009-07-02
47,Scramdisk 4 Linux,Yes[101],No,,No,No,Yes[101],No,No,"ext2, ext3, reiserfs, minix, ntfs, vfat/msdos",No
48,SecuBox,No,No,,No,No,Yes,No,No,?,No
49,SecureDoc,No,Yes[102],?,Yes,Yes,Yes,Yes,Yes,?,Yes
50,Seqrite Encryption Manager,No,Yes,Yes,No,Yes,Yes,Yes,No,Any supported by OS,No
51,Sentry 2020,No,No,?,No,No,No,No,No,?,No
52,Softraid / RAID C,No,No,?,?,?,?,Yes,?,Any supported by OS,?
53,Svnd / Vnconfig,No,No,,No,No,Yes[103],Yes,?,Any supported by OS,?
54,Symantec Endpoint Encryption,No,Yes,Yes,Yes,Yes,Yes,No,No,"NTFS, FAT32",Yes
55,Trend Micro Endpoint Encryption,No,Yes,Yes,Yes,Yes,Yes[104],Yes[105],No,Any supported by OS,Yes[106]
56,TrueCrypt [Note 4],"Yes(limited to one per""outer"" container)",only on Windows[107],?,No,yes with multiple keyfiles[74][108],Yes,Yes,No[75],"Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged[76]",Yes
57,VeraCrypt,"Yes(limited to one per""outer"" container)",only on Windows[109],No,No,yes with multiple keyfiles,Yes,Yes,No,"Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged",Yes
58,CyberSafe Top Secret,Yes,No,No,No,Yes,Yes,Yes,No,"Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged",Yes
59,Name,Hidden containers,Pre-boot authentication,Single sign-on,Custom authentication,Multiple keys,Passphrase strengthening,Hardware acceleration,TPM,Filesystems,Two-factor authentication
