,Name,Hard drive: partition size max,Native support:File systems,"Native support:floppy capacities 3.5""","Native support:floppy capacities 5.25""","Native support:floppy capacities 8.0""",Integrated disk compression utility,Native support:long file names
0,86-DOS 0.42-1.00,,FAT12;(CP/M 2 through RDCPM),,NorthStar 87.5 KB; Cromemco 90 KB,Cromemco/Tarbell 250.25 KB; Tarbell 616 KB; Tarbell 1232 KB[7],No,No
1,MS-DOS 1.25,,FAT12,,160 KB; 320 KB,250.25 KB[8],No,No
2,MS-DOS 2.0-2.11,16 MB (32 MB with third-party FORMAT)[9],FAT12,,160 KB; 180 KB; 320 KB; 360 KB,250.25 KB;[8][10][11] 500.5 KB;[8][10][11] 616 KB;[10][11] 1232 KB[8][10]</ref>[11],No,No
3,MS-DOS 3.0,32 MB,"FAT12, FAT16",,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
4,MS-DOS 3.1,32 MB,"FAT12, FAT16",,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
5,MS-DOS 3.2,32 MB,"FAT12, FAT16",720 KB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
6,MS-DOS 3.3,32 MB,"FAT12, FAT16",720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
7,MS-DOS 3.31,512 MB,"FAT12, FAT16, FAT16B",720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
8,MS-DOS 4.0,2 GB,"FAT12, FAT16, FAT16B",720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
9,MS-DOS 5.0,2 GB,"FAT12, FAT16, FAT16B","720 KB, 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
10,MS-DOS 6.0,2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,DoubleSpace,No
11,MS-DOS 6.20,2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,DoubleSpace,No
12,MS-DOS 6.21,2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
13,MS-DOS 6.22,2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,DriveSpace,No
14,MS-DOS 7.0 (Windows 95A),2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,DriveSpace,No
