,Name,Mac OS X,Mac OS classic,Windows,Cygwin,BSD,Linux,Solaris,Java,OpenVMS,z/OS,AmigaOS,AIX,HPUX,"iOS: iPhone,[Note 1] iPod Touch",webOS,Android
0,Apache MINA SSHD,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No
1,CopSSH,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
2,CrushFTP Server,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No
3,Dropbear,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes[Note 2],Yes
4,lsh,Yes,No,No,No,Partial[Note 3],Yes,Yes,No,No,No,No,No,No,No,No,??
5,OpenSSH (OpenBSD Secure Shell),Included,No,Optional[Note 4],Included,Included,Included[Note 5],Yes,No,Yes,Yes,Yes,Yes[Note 6],Included,Yes[Note 7],Yes[Note 2],Partial
