,Name,Rectilinear lenses (i.e. normal camera lenses),Fish eye lenses,Partial or full (spherical) panoramas or images from panoramic cameras,Different focal lengths in single panorama,Different lens types in single panorama,Perspective correction lenses,Other/Notes
0,Panoweaver Standard / Professional [29],Yes,Yes,Yes,Yes,Yes,Yes,
1,i2Align Quickage Express / Pro,Yes,No,No,?,?,No,
2,Pixtra PanoStitcher[30],Yes,No,No,Yes,No,No,
3,Pixtra OmniStitcher[31],Yes,Yes,No,Yes,No,No,
4,QuickPHOTO,No,No,No,No,No,No,PROMICAM[32] microscope camera needed
5,PhotoFit Harmony / Premium,Yes,No,No,No,No,No,
6,PanoramaPlus X4,Yes,No,No,No,No,No,
7,PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro,Yes,No,No,No,No,No,
8,360 Panorama Professional,Yes,No,No,No,No,No,
9,VRstitcher Fisheye Pro,Yes,Yes,No,No,No,No,
10,COOL 360,Yes,No,No,No,No,No,
11,PanaVue ImageAssembler Std. / Pro. / Ent.,Yes,Yes*,No,No,No,?,"*) Circular fish eyes not supported,[33] diagonal fish eyes up to 180 degree field of view."
12,The Panorama Factory v5,Yes,No,No,No,No,,
13,PixMaker Lite / Home / Business,Yes,No,No,No,No,No,
14,PTAssembler[34],Yes,Yes,Yes,Yes,Yes,Yes,
15,PTgui / PTgui Pro,Yes,Yes,Yes,Yes,Yes,Yes,
16,Autopano Pro / Giga / Server,Yes,Yes,No,Yes,Yes,Yes,"Also supports motorized panoramic heads, in Giga & Pro versions."
17,Autostitch,Yes,?,No,No,Yes,?,
18,Calico Panorama,Yes,No,No,No,No,No,
19,Hugin,Yes,Yes*,Yes,Yes,Yes,Yes,"* As of v2010.2 onwards, all known fish eye projections are supported (equisolid, orthographic, stereographic)"
20,3DVista Stitcher 3.0,Yes,Yes,No,No,No,No,"""One shot"" i.e. panoramic mirror lenses also supported."
21,D Joiner,Yes,No,No,No,No,No,
22,Panorama Maker 6,Yes,No,No,No,No,No,
23,Photovista Panorama,Yes,No,No,No,No,No,
24,PanoramaStudio / Pro,Yes,No,No,No,No,No,
25,Stitcher Unlimited 2009,Yes,Yes,Yes,?,?,No,
26,ADG Panorama Tools / Pro[35],Yes,No,Yes*,No,No,No,*) Cylindrical only
27,Panorama Composer 3,Yes,No,No,No,No,No,
28,Image Composite Editor,Yes,No,No,No,No,No,
29,Panorama Perfect,Yes,No,No,No,No,No,
30,Photoshop,Yes,No,No,No,No,No,
31,AIPR Lite 1,Yes,No,No,Yes,Yes,Yes*,(*) homographic model compensates for these type of lenses
32,Gigapan Stitch 1.0,Yes,No,Yes,No,No,No,
33,PanoramaMaker,Yes,?,?,Yes,?,?,
34,PanoEdit,Yes,No,No,No,No,?,
35,SharpStitch,Yes,No,No,No,No,No,
36,Name,Rectilinear lenses (i.e. normal camera lenses),Fish eye lenses,Partial or full (spherical) panoramas or images from panoramic cameras,Different focal lengths in single panorama,Different lens types in single panorama,Perspective correction lenses,Other/Notes
