,Driver,Chipset,Free firmware[note 2],License,Development
0,IWIDarwin,Intel PRO/Wireless 2100/2200BG/2225BG/2915ABG/3945ABG/4965AGN,No,GPL,Port from Linux
1,WirelessDriver[68],"Lucent/Agere Systems Hermes (WaveLAN/ORiNOCO), Intersil PRISM-2 802.11b",,BSD,
2,GTdriver,PRISM-GT 802.11b/g,,GPL,
