,Origin,Spanish,Portuguese,Meaning
0,argillam,arcilla,argila,'clay'
1,blandum,blando,brando,'soft'
2,cāseum,queso,queijo,'cheese'
3,oculum → oc'lu,ojo,olho,'eye'
4,hominem → hom'ne,hombre,homem,'man'
5,tremulāre → trem'lare,temblar,tremer,'to tremble'
