,Spanish,Portuguese,English
0,lunes (< Lat. diēs lūnae 'Moon's day'),Segunda-feira (fēria secuda 'Second weekday'),Monday
1,martes (< Lat. diēs martis 'Mars' day'),Terça-feira (fēria tertia 'Third weekday'),Tuesday
2,miércoles (< Lat. diēs mercuriī 'Mercury's day'),Quarta-feira (fēria quarta 'Fourth weekday'),Wednesday
3,jueves (< Lat. diēs iovis 'Jupiter's day'),Quinta-feira (fēria quinta 'Fifth weekday'),Thursday
4,"viernes (< Lat. diēs veneris, 'Venus' day')",Sexta-feira (fēria sexta 'Sixth weekday'),Friday
5,sábado (< Lat. sabbatum 'Sabbath'),sábado (< Lat. sabbatum 'Sabbath'),Saturday
6,domingo (< Lat. diēs dominica 'Lord's day'),domingo (< Lat. diēs dominica 'Lord's day'),Sunday
