,Unnamed: 0,Guest account,Customer testimonials,Featured products,"Glossary, tool tip words",Image enlarge,Mini cart,Multiple addresses,Newest products,Newsletter,News,Next-previous product links,Polls,Popular products,Printing-friendly
0,Apache OFBiz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Batavi,?,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
2,Bigcommerce,Yes,Add-on,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,3rd party add-on,Yes,No
3,Drupal Commerce,Yes,Yes,Yes,Add-on,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Add-on
4,KonaKart,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
5,LemonStand,?,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
6,nopCommerce,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
7,Magento,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
8,osCommerce,Add-on,Add-on,Add-on,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Add-on,Yes,Add-on
9,OpenCart,Yes,Yes,Yes,?,Yes,?,Yes,Yes,Yes,Add-on,?,No,Yes,Yes
10,pimcore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,PrestaShop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Sana Commerce,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
13,Shopify,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,SupaDupa,?,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes
15,WooCommerce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Zen Cart,Add-on[25],Add-on[26],Yes,No,Yes,No,Add-on[27],Yes,Yes,No,Yes,No,Yes,Yes
17,,Guest account,Customer testimonials,Featured products,"Glossary, tool tip words",Image enlarge,Mini cart,Multiple addresses,Newest products,Newsletter,News,Next-previous product links,Polls,Popular products,Printing-friendly
