,Model,Features,Features.1,Features.2,Features.3,Features.4,Features.5
0,Model,Gamma-correct antialiasing,64-bit OpenEXR HDR,Scalable Link Interface (SLI),TurboCache,Dual Link DVI,
1,GeForce 7100 GS,No,No,Yes (PCIe only)(No SLI bridge),Yes,No,
2,GeForce 7200 GS,Yes,Yes,No,Yes,No,
3,GeForce 7300 SE,Yes,Yes,No,Yes,No,
4,GeForce 7300 LE,Yes,Yes,No,Yes,No,
5,GeForce 7300 GS,Yes,Yes,Yes (PCIe only)(No SLI bridge),Yes,No,
6,GeForce 7300 GT,Yes,Yes,Yes (PCIe only)(No SLI bridge),No,One port,
7,GeForce 7600 GS,Yes,Yes,Yes (PCIe only),No,One port,
8,GeForce 7600 GT,Yes,Yes,Yes (PCIe only),No,One port,
9,GeForce 7600 GT (80 nm),Yes,Yes,Yes,No,One port,
10,GeForce 7650 GS (80 nm),Yes,Yes,Yes (Depending on OEM Design),No,One port,
11,GeForce 7800 GS,Yes,Yes,No,No,One port,
12,GeForce 7800 GT,Yes,Yes,Yes,No,One port,
13,GeForce 7800 GTX,Yes,Yes,Yes,No,One port,
14,GeForce 7800 GTX 512,Yes,Yes,Yes,No,One port,
15,GeForce 7900 GS,Yes,Yes,Yes (PCIe only),No,Two ports,
16,GeForce 7900 GT,Yes,Yes,Yes,No,Two ports,
17,GeForce 7900 GTO,Yes,Yes,Yes,No,Two ports,
18,GeForce 7900 GTX,Yes,Yes,Yes,No,Two ports,
19,GeForce 7950 GT,Yes,Yes,Yes (PCIe only),No,Two ports,
20,GeForce 7950 GX2,Yes,Yes,Yes,No,Two ports,
